숙소번호,모텔명,추천/비추천,긍정단어,부정단어,긍정비율,부정비율
1,나주 그랜드 호텔,비추천,11,6,64.71,35.29
2,나주 LAKE 45 호텔,보통추천,7,2,77.78,22.22
3,나주 브리즈 무인호텔,비추천,13,6,68.42,31.58
4,나주 호텔 드림,매우완전추천,15,0,100.0,0.0
5,나주 숲 무인호텔,매우완전추천,10,0,100.0,0.0
6,나주 라온팰리스 호텔,매우완전추천,16,0,100.0,0.0
7,나주 듀플렉스 레지던스 호텔,완전추천,13,2,86.67,13.33
8,나주 마루오호텔,보통추천,13,3,81.25,18.75
9,나주 트럼프 무인텔,비추천,4,4,50.0,50.0
10,영광 팅커벨 무인호텔,비추천,7,4,63.64,36.36
11,나주 호텔 뷰,비추천,9,4,69.23,30.77
12,나주 웰컴 비즈니스,보통추천,11,3,78.57,21.43
13,나주 하이텔,비추천,10,6,62.5,37.5
14,영광 707 미니호텔,비추천,9,4,69.23,30.77
15,나주 웨스턴 호텔,보통추천,21,5,80.77,19.23
16,영광 CC 무인텔,완전추천,12,2,85.71,14.29
17,나주 M,매우완전추천,15,0,100.0,0.0
18,나주 궁 무인텔,비추천,4,7,36.36,63.64
19,영광 더원 호텔,비추천,8,5,61.54,38.46
20,영광 하운드 영광터미널,매우완전추천,19,0,100.0,0.0
21,장성 휴,비추천,2,4,33.33,66.67
22,나주 명성리버텔,완전추천,8,1,88.89,11.11
23,나주 힐 모텔,비추천,2,4,33.33,66.67
24,영광 알로하 무인텔,완전추천,25,2,92.59,7.41
25,나주 윈 무인텔,비추천,6,8,42.86,57.14
26,영광 청수,완전추천,10,1,90.91,9.09
27,나주 호텔 코어,비추천,3,4,42.86,57.14
28,나주 벌꿀 호텔,완전추천,6,1,85.71,14.29
29,장성 J,보통추천,5,1,83.33,16.67
30,나주 Q,비추천,3,3,50.0,50.0
31,나주 S,비추천,13,6,68.42,31.58
32,나주 현대,보통추천,18,5,78.26,21.74
33,장성 9,비추천,14,13,51.85,48.15
34,나주 쇼,보통추천,8,3,72.73,27.27
35,장성 수석모텔,매우완전추천,6,0,100.0,0.0
36,영광 썸 무인호텔,매우완전추천,6,0,100.0,0.0
37,함평 힐탑,비추천,8,9,47.06,52.94
38,영광 로얄,비추천,5,3,62.5,37.5
39,영광 골든비치,매우완전추천,1,0,100.0,0.0
40,장성 백양관광호텔,비추천,0,1,0.0,100.0
41,나주 호텔 코어 키즈 풀빌라,데이터부족,0,0,0.0,0.0
42,순천 자 무인텔,비추천,6,5,54.55,45.45
43,순천 호텔 TT,완전추천,15,1,93.75,6.25
44,순천 앙띠브 호텔,완전추천,15,2,88.24,11.76
45,순천 9to9,보통추천,10,2,83.33,16.67
46,순천 테라칸,보통추천,24,6,80.0,20.0
47,순천 YAM 순천 연향점,보통추천,11,3,78.57,21.43
48,순천 호텔 69,비추천,11,13,45.83,54.17
49,순천 나무늘보 호텔,비추천,6,6,50.0,50.0
50,순천 칸,완전추천,6,1,85.71,14.29
51,순천 S 무인호텔,완전추천,20,3,86.96,13.04
52,순천 젠틀맨 무인호텔,보통추천,24,5,82.76,17.24
53,순천 YAJA 순천조례점,보통추천,22,6,78.57,21.43
54,순천 루벤스,완전추천,8,1,88.89,11.11
55,순천 호텔 리오,보통추천,14,5,73.68,26.32
56,순천 호텔 데일리(HOTEL DAILY),보통추천,9,3,75.0,25.0
57,순천 호텔 본(HOTEL BON),비추천,15,16,48.39,51.61
58,순천 E,비추천,10,9,52.63,47.37
59,순천 노블 무인호텔,매우완전추천,20,1,95.24,4.76
60,순천 다빈치 호텔,완전추천,32,2,94.12,5.88
61,순천 호텔 써드,매우완전추천,7,0,100.0,0.0
62,순천 노블레스,매우완전추천,17,0,100.0,0.0
63,순천 카프리,비추천,7,7,50.0,50.0
64,순천 파스텔,비추천,7,5,58.33,41.67
65,순천 줄리엣,보통추천,16,3,84.21,15.79
66,순천 호텔 로미오,보통추천,14,3,82.35,17.65
67,순천 HOTEL 여기어때 조례사거리점,보통추천,12,3,80.0,20.0
68,순천 소풍,매우완전추천,21,1,95.45,4.55
69,순천 코코,완전추천,6,1,85.71,14.29
70,순천 호텔 디바인(HOTEL DIVINE),완전추천,11,1,91.67,8.33
71,순천 호텔 THE B,보통추천,14,4,77.78,22.22
