Keyword,Frequency
깨끗하다,1.0
친절하다,0.7693266832917706
깔끔하다,0.6209476309226932
편하다,0.49002493765586036
넓다,0.35286783042394015
만족하다,0.243142144638404
괜찮다,0.2256857855361596
조용하다,0.19077306733167082
편안하다,0.1596009975062344
아쉽다,0.1371571072319202
저렴하다,0.13216957605985039
가깝다,0.12094763092269327
청결하다,0.12094763092269327
안되다,0.10473815461346633
불편하다,0.10349127182044887
그렇다,0.10349127182044887
따뜻하다,0.09850374064837905
쾌적하다,0.08229426433915212
오래되다,0.08229426433915212
만족스럽다,0.0685785536159601
용하다,0.06608478802992519
인하다,0.06483790523690773
맛있다,0.05361596009975062
나쁘다,0.048628428927680795
편리하다,0.046134663341645885
급하다,0.04114713216957606
굉장하다,0.03740648379052369
작다,0.03740648379052369
심하다,0.03740648379052369
약하다,0.034912718204488775
적당하다,0.034912718204488775
덥다,0.034912718204488775
다르다,0.032418952618453865
박하다,0.032418952618453865
힘들다,0.032418952618453865
이렇다,0.029925187032418952
예쁘다,0.029925187032418952
즐겁다,0.028678304239401497
낡다,0.02743142144638404
좁다,0.02743142144638404
시원하다,0.026184538653366583
간단하다,0.026184538653366583
이쁘다,0.02493765586034913
푹신하다,0.02493765586034913
시끄럽다,0.02493765586034913
넉넉하다,0.02493765586034913
완벽하다,0.02493765586034913
딱딱하다,0.022443890274314215
아늑하다,0.022443890274314215
새롭다,0.022443890274314215
착하다,0.022443890274314215
높다,0.02119700748129676
비싸다,0.0199501246882793
곱다,0.0199501246882793
부족하다,0.0199501246882793
더럽다,0.018703241895261846
뜨겁다,0.018703241895261846
좋아하다,0.017456359102244388
불친절하다,0.017456359102244388
아프다,0.016209476309226933
멀다,0.016209476309226933
계시다,0.016209476309226933
상당하다,0.014962593516209476
부탁드리다,0.014962593516209476
야하다,0.014962593516209476
신기하다,0.01371571072319202
똑같다,0.01371571072319202
어렵다,0.01371571072319202
흠잡다,0.012468827930174564
아깝다,0.012468827930174564
행복하다,0.012468827930174564
충분하다,0.011221945137157107
안좋다,0.011221945137157107
피곤하다,0.011221945137157107
쎄다,0.011221945137157107
포근하다,0.011221945137157107
추하다,0.00997506234413965
불쾌하다,0.00997506234413965
고맙다,0.00997506234413965
놀래다,0.00997506234413965
습하다,0.00997506234413965
재밌다,0.00997506234413965
훌륭하다,0.00997506234413965
이상하다,0.00997506234413965
어둡다,0.008728179551122194
한적하다,0.008728179551122194
기대하다,0.008728179551122194
예민하다,0.008728179551122194
죄송하다,0.008728179551122194
꼼꼼하다,0.008728179551122194
딱이다,0.008728179551122194
무섭다,0.008728179551122194
답답하다,0.008728179551122194
힘드다,0.008728179551122194
가볍다,0.008728179551122194
멋지다,0.008728179551122194
찝찝하다,0.008728179551122194
특별하다,0.007481296758104738
흔쾌하다,0.007481296758104738
싫다,0.007481296758104738
낮다,0.007481296758104738
비슷하다,0.007481296758104738
뽀송하다,0.007481296758104738
다양하다,0.007481296758104738
실하다,0.007481296758104738
고급스럽다,0.007481296758104738
재미있다,0.006234413965087282
왠만하다,0.006234413965087282
다행하다,0.006234413965087282
귀찮다,0.006234413965087282
솔직하다,0.006234413965087282
중요하다,0.006234413965087282
쉽다,0.006234413965087282
설치다,0.004987531172069825
궁금하다,0.004987531172069825
든든하다,0.004987531172069825
갑작스럽다,0.004987531172069825
반갑다,0.004987531172069825
희다,0.004987531172069825
빈약하다,0.004987531172069825
아름답다,0.004987531172069825
바쁘다,0.004987531172069825
분명하다,0.004987531172069825
지저분하다,0.004987531172069825
가득하다,0.004987531172069825
춥다,0.004987531172069825
실망하다,0.004987531172069825
은은하다,0.004987531172069825
느리다,0.004987531172069825
웬만하다,0.004987531172069825
귀엽다,0.004987531172069825
세련되다,0.004987531172069825
빠르다,0.003740648379052369
엄청나다,0.003740648379052369
짧다,0.003740648379052369
여전하다,0.003740648379052369
검다,0.003740648379052369
드럽다,0.003740648379052369
단단하다,0.003740648379052369
불안하다,0.003740648379052369
특이하다,0.003740648379052369
애매하다,0.003740648379052369
마땅하다,0.003740648379052369
드물다,0.003740648379052369
얇다,0.003740648379052369
황당하다,0.003740648379052369
필요없다,0.003740648379052369
당연하다,0.003740648379052369
민감하다,0.003740648379052369
반하다,0.003740648379052369
불량하다,0.003740648379052369
곤란하다,0.003740648379052369
무심하다,0.003740648379052369
건강하다,0.003740648379052369
탁월하다,0.003740648379052369
차갑다,0.003740648379052369
아담하다,0.003740648379052369
확실하다,0.003740648379052369
동일하다,0.003740648379052369
뽀송뽀송하다,0.003740648379052369
길다,0.003740648379052369
안락하다,0.003740648379052369
대단하다,0.003740648379052369
미치다,0.003740648379052369
신속하다,0.0024937655860349127
유용하다,0.0024937655860349127
고프다,0.0024937655860349127
붉다,0.00249376558603491270
안전하다,0.0024937655860349127
유일하다,0.0024937655860349127
널찍하다,0.0024937655860349127
뜨끈하다,0.0024937655860349127
안녕하다,0.0024937655860349127
열악하다,0.0024937655860349127
간편하다,0.0024937655860349127
싫어하다,0.0024937655860349127
강하다,0.0024937655860349127
부드럽다,0.0024937655860349127
귀하다,0.0024937655860349127
덜하다,0.0024937655860349127
복잡하다,0.0024937655860349127
심각하다,0.0024937655860349127
쌀쌀하다,0.0024937655860349127
평범하다,0.0024937655860349127
밤늦다,0.0024937655860349127
상쾌하다,0.0024937655860349127
우수하다,0.0024937655860349127
화사하다,0.0024937655860349127
섬세하다,0.0024937655860349127
딱좋다,0.0024937655860349127
빨르다,0.0024937655860349127
알맞다,0.0024937655860349127
구리다,0.0024937655860349127
번거롭다,0.0024937655860349127
끝내주다,0.0024937655860349127
부럽다,0.0024937655860349127
뻔하다,0.0024937655860349127
적합하다,0.0024937655860349127
풍부하다,0.0024937655860349127
이러하다,0.0024937655860349127
