Keyword,Frequency
좋다,3198
깨끗하다,1040
친절하다,844
깔끔하다,644
편하다,521
없다,448
넓다,353
괜찮다,255
만족하다,239
조용하다,214
많다,170
편안하다,160
저렴하다,152
아쉽다,139
가깝다,119
청결하다,118
따뜻하다,117
오래되다,116
안되다,112
불편하다,111
아니다,104
쾌적하다,83
만족스럽다,76
나쁘다,54
맛있다,52
편리하다,47
심하다,43
약하다,39
굉장하다,38
힘들다,38
작다,37
필요하다,36
덥다,34
적당하다,34
다르다,33
굳다,31
딱딱하다,30
가능하다,30
예쁘다,29
간단하다,28
시원하다,28
착하다,28
새롭다,28
낡다,28
즐겁다,27
아늑하다,27
좁다,27
높다,26
푹신하다,26
넉넉하다,24
시끄럽다,24
이쁘다,24
완벽하다,23
부족하다,22
비싸다,22
불친절하다,20
멀다,20
더럽다,20
좋아하다,19
춥다,17
훌륭하다,16
곱다,16
뜨겁다,16
상당하다,15
어떻다,14
어렵다,14
이상하다,14
아깝다,14
똑같다,13
재밌다,12
고맙다,11
낮다,11
쎄다,11
행복하다,11
지저분하다,11
찝찝하다,10
놀래다,10
습하다,10
포근하다,10
충분하다,10
어둡다,10
안좋다,10
추하다,9
멋지다,9
원하다,9
꼼꼼하다,9
힘드다,9
불쾌하다,9
딱이다,9
설치다,9
답답하다,8
필요없다,8
싫다,8
기대하다,8
엄청나다,7
여전하다,7
중요하다,7
예민하다,7
흔쾌하다,7
한적하다,7
솔직하다,6
특별하다,6
미치다,6
고급스럽다,6
빠르다,6
뽀송하다,6
다양하다,6
왠만하다,6
실망하다,6
당연하다,6
웬만하다,5
세련되다,5
반갑다,5
뜨끈하다,5
상관없다,5
차갑다,5
재미있다,5
다행하다,5
궁금하다,4
느리다,4
애매하다,4
건강하다,4
아름답다,4
귀엽다,4
확실하다,4
은은하다,4
드물다,4
갑작스럽다,4
든든하다,4
안락하다,4
불량하다,4
민감하다,4
분명하다,4
가득하다,4
환하다,4
번거롭다,4
단단하다,4
불안하다,4
마땅하다,4
얇다,4
무심하다,4
바쁘다,4
평범하다,4
빈약하다,4
대단하다,3
친근하다,3
끝내주다,3
동일하다,3
탁월하다,3
널찍하다,3
반하다,3
안남다,3
부실하다,3
길다,3
짧다,3
뽀송뽀송하다,3
특이하다,3
미안하다,3
시커멓다,3
드럽다,3
황당하다,3
심각하다,3
아담하다,3
곤란하다,3
딱좋다,3
덜하다,3
싫어하다,2
안전하다,2
화사하다,2
우수하다,2
젊다,2
의심스럽다,2
적합하다,2
풍부하다,2
미흡하다,2
맑다,2
알차다,2
역겹다,2
귀하다,2
아기자기하다,2
이러하다,2
사소하다,2
딱하다,2
난감하다,2
큼직하다,2
깊다,2
무겁다,2
신속하다,2
유용하다,2
유일하다,2
넘치다,2
열악하다,2
간지럽다,2
상쾌하다,2
섬세하다,2
부드럽다,2
알맞다,2
분하다,2
구리다,2
쌀쌀하다,2
복잡하다,2
너무하다,2
어떡하다,2
미끄럽다,2
까슬하다,2
완전하다,2
조그맣다,2
수북하다,1
진정하다,1
유명하다,1
수월하다,1
빡치다,1
노후하다,1
짜증나다,1
천하다,1
어정쩡하다,1
칼칼하다,1
무관심하다,1
흡족하다,1
무례하다,1
두껍다,1
월등하다,1
불가능하다,1
신비롭다,1
재빠르다,1
회복하다,1
정확하다,1
쿰쿰하다,1
짱짱하다,1
동그랗다,1
자잘하다,1
침침하다,1
진하다,1
퀴퀴하다,1
변하다,1
흡사하다,1
헷갈리다,1
조렇다,1
푸근하다,1
까칠하다,1
유익하다,1
평안하다,1
쓰리다,1
충실하다,1
시끌벅적하다,1
따끈따끈하다,1
요란하다,1
슬프다,1
숨막히다,1
갠차다,1
저렇다,1
뛰어나다,1
화려하다,1
출출하다,1
시원시원하다,1
눅눅하다,1
뿌옇다,1
당하다,1
노랗다,1
어마어마하다,1
마지못하다,1
까다롭다,1
탁하다,1
