숙소번호,모텔명,추천/비추천,긍정단어,부정단어,긍정비율,부정비율
118,여수 라포즈펜션,매우완전추천,42,2,95.45,4.55
119,여수 굿타임리조트,보통추천,19,8,70.37,29.63
120,여수 나폴리펜션,비추천,19,10,65.52,34.48
121,여수 하멜펜션,완전추천,54,9,85.71,14.29
122,여수 마리나유스호스텔,보통추천,23,6,79.31,20.69
123,여수 지뜨펜션(여수낭만포차 도보1분내),완전추천,26,2,92.86,7.14
124,여수 여수야호스텔펜션,보통추천,38,7,84.44,15.56
125,여수 모리아펜션,매우완전추천,33,0,100.0,0.0
126,여수 디마레풀빌라&키즈,보통추천,24,7,77.42,22.58
127,여수 케이브풀빌라(Cave poolvilla),보통추천,32,7,82.05,17.95
128,여수 히든비치리조트펜션,보통추천,18,4,81.82,18.18
129,"여수 삼학1947풀빌라(신축, 낭만포차)",완전추천,40,4,90.91,9.09
130,여수 아일랜드보인다펜션,완전추천,26,3,89.66,10.34
131,여수 해랑호스텔펜션,매우완전추천,31,1,96.88,3.12
132,여수 온다도로펜션,완전추천,23,3,88.46,11.54
133,여수 노을담은호스텔,완전추천,48,3,94.12,5.88
134,여수 디아크리조트&풀빌라(수영장무료),보통추천,30,10,75.0,25.0
135,여수 노을과바다풀빌라,보통추천,25,8,75.76,24.24
136,여수 아모르펜션(낚시스팟),완전추천,38,3,92.68,7.32
137,여수 노을드림펜션,비추천,15,8,65.22,34.78
138,"여수 밀라그로펜션(수영장,오션뷰)",매우완전추천,37,1,97.37,2.63
139,여수 리틀포레스트펜션(낭만포차인근),보통추천,13,5,72.22,27.78
140,여수 썬비치펜션,완전추천,19,2,90.48,9.52
141,여수 슈가브리움펜션,완전추천,24,4,85.71,14.29
142,여수 아일리아펜션,비추천,11,6,64.71,35.29
143,여수 라메르펜션,보통추천,22,6,78.57,21.43
144,여수 르파라디리조트,완전추천,29,2,93.55,6.45
145,여수 뷰21펜션 (통대관),보통추천,40,12,76.92,23.08
146,여수 더뷰917리조트펜션,보통추천,15,5,75.0,25.0
147,여수 풀빌라리조트 리베라,완전추천,28,2,93.33,6.67
148,영암 비바체펜션,매우완전추천,15,0,100.0,0.0
149,신안 썬코스트리조트,보통추천,19,6,76.0,24.0
150,완도 바하펜션,완전추천,18,1,94.74,5.26
151,영광 노을연가펜션,보통추천,24,6,80.0,20.0
152,보성 보성녹차리조트,비추천,12,14,46.15,53.85
153,고흥 나로in별빛펜션,매우완전추천,25,1,96.15,3.85
154,완도 솔비치펜션,보통추천,16,4,80.0,20.0
155,완도 동고리의아침펜션,매우완전추천,28,0,100.0,0.0
156,고흥 거금아일랜드펜션,비추천,27,16,62.79,37.21
157,신안 천일염힐링캠프카라반,비추천,23,11,67.65,32.35
158,보성 왕실의펜션,완전추천,15,2,88.24,11.76
159,보성 별바라기펜션,완전추천,30,3,90.91,9.09
160,고흥 하얀노을호텔,완전추천,9,1,90.0,10.0
161,완도(보길도) 블랙스톤펜션,비추천,16,8,66.67,33.33
162,진도 해오름펜션,완전추천,15,2,88.24,11.76
163,장흥 수문리조트,보통추천,37,8,82.22,17.78
164,광양 필관광하우스펜션,완전추천,12,1,92.31,7.69
165,고흥 휴샹그릴라펜션,보통추천,19,5,79.17,20.83
166,신안 프롬휴풀빌라펜션,보통추천,41,9,82.0,18.0
167,무안 애모시옹풀빌라펜션,보통추천,29,7,80.56,19.44
168,장흥 참새미힐링하우스펜션,비추천,21,14,60.0,40.0
169,완도 청해진한옥펜션,보통추천,14,4,77.78,22.22
170,해남 땅끝마을휘겔리펜션,매우완전추천,24,1,96.0,4.0
171,보성 수진한옥펜션,매우완전추천,23,1,95.83,4.17
172,완도 원네스리조트,비추천,22,13,62.86,37.14
173,강진 다향소축한옥민박펜션,보통추천,16,4,80.0,20.0
174,완도 청산도여행펜션,완전추천,71,4,94.67,5.33
175,보성 구름속의산책펜션,완전추천,37,3,92.5,7.5
176,완도 라일펜션,비추천,13,9,59.09,40.91
177,고흥 오션뷰펜션,매우완전추천,8,0,100.0,0.0
178,해남 노을빛바다펜션,보통추천,8,3,72.73,27.27
179,무안 톱머리리조트펜션,비추천,15,12,55.56,44.44
180,해남 땅끝풍경펜션,완전추천,31,4,88.57,11.43
181,영광 쉐이리펜션,보통추천,14,5,73.68,26.32
182,완도 친구네펜션,보통추천,31,8,79.49,20.51
183,완도 코너레지던스호텔,보통추천,7,3,70.0,30.0
184,해남 아침의향기펜션,비추천,12,10,54.55,45.45
185,신안 섬안애펜션,보통추천,21,7,75.0,25.0
186,고흥 나로리뷰펜션,완전추천,31,2,93.94,6.06
187,영광 백수해안도로펜션,보통추천,18,4,81.82,18.18
188,보성 그린빌펜션,비추천,11,10,52.38,47.62
189,완도 용현이네펜션,완전추천,33,3,91.67,8.33
190,광양 더자연펜션,완전추천,28,3,90.32,9.68
191,고흥 해수온천바다스파랜드펜션,완전추천,32,2,94.12,5.88
192,광양 숲속농원펜션,매우완전추천,16,0,100.0,0.0
193,함평 윤슬한옥펜션,매우완전추천,64,1,98.46,1.54
194,고흥 나로아라펜션,완전추천,23,3,88.46,11.54
195,영광 해변중앙펜션,완전추천,18,2,90.0,10.0
196,완도 리베라펜션,매우완전추천,24,1,96.0,4.0
197,해남 꼬꼬펜션,비추천,12,13,48.0,52.0
