Keyword,Frequency,sentiment
아리송하다,1,negative
굵다,1,neutral
곤란하다,1,negative
험난하다,1,neutral
간편하다,1,positive
번하다,1,positive
후미지다,1,neutral
안온하다,1,neutral
슬프다,1,negative
어마어마하다,1,neutral
어설프다,1,negative
뜨뜻하다,1,neutral
강하다,1,positive
느긋하다,1,neutral
찜찜하다,1,negative
선명하다,1,positive
하얗다,1,neutral
반짝반짝하다,1,neutral
안쓰럽다,1,negative
알맞다,1,positive
화려하다,1,positive
따스하다,1,neutral
썰렁하다,1,neutral
어지간하다,1,neutral
노출하다,1,neutral
풍부하다,1,positive
동일하다,1,neutral
정성스럽다,1,positive
사소하다,1,neutral
환장하다,1,neutral
점잖다,1,positive
인자하다,1,neutral
알뜰하다,1,neutral
어중간하다,1,neutral
별다르다,1,neutral
가지런하다,1,positive
식겁하다,1,neutral
미미하다,1,neutral
미끌미끌하다,1,neutral
노랗다,1,neutral
펀하다,1,neutral
후끈하다,1,neutral
흉하다,1,negative
연결하다,1,neutral
미안하다,1,negative
훈훈하다,1,positive
장난없다,1,neutral
부드럽다,1,positive
옳다,1,positive
순하다,1,positive
필요없다,1,negative
불필요하다,1,neutral
쎄다,1,neutral
심각하다,1,negative
축축하다,1,neutral
너그럽다,1,positive
뿐이다,1,neutral
튼튼하다,1,positive
미적지근하다,1,neutral
노후하다,1,neutral
조그맣다,1,neutral
안녕하다,1,neutral
쉽다,1,positive
무겁다,1,negative
조심스럽다,1,neutral
보들보들하다,1,neutral
어떡하다,1,neutral
시원시원하다,1,positive
현란하다,1,neutral
대단하다,1,positive
설치다,1,neutral
시리다,1,neutral
상냥하다,1,positive
흥겹다,1,positive
멀쩡하다,1,positive
고급스럽다,1,positive
캄캄하다,1,neutral
열악하다,1,negative
드넓다,1,neutral
어지럽다,1,negative
밉다,1,negative
방심하다,1,neutral
시꺼멓다,1,neutral
분명하다,1,positive
태평하다,1,neutral
띵하다,1,neutral
모호하다,1,negative
심심하다,1,neutral
잘생기다,1,positive
붉다,1,neutral
말르다,1,neutral
사장,1118,neutral
숙소,854,neutral
정말,483,neutral
펜션,464,positive
시설,407,neutral
여행,371,neutral
보기,362,neutral
다음,341,neutral
방문,326,neutral
바비큐,324,neutral
수영장,289,positive
이용,287,neutral
진짜,246,neutral
생각,230,neutral
가족,212,positive
바로,206,neutral
바다,198,positive
화장실,186,neutral
조금,186,neutral
예약,185,neutral
최고,184,positive
방도,177,positive
주변,176,neutral
객실,167,neutral
사진,167,neutral
다시,157,neutral
가격,149,neutral
아주,147,neutral
침구,147,neutral
힐링,145,positive
정도,143,neutral
위치,143,neutral
하나,142,neutral
침대,140,neutral
시간,139,neutral
여수,139,neutral
벌레,138,negative
청결,137,neutral
근처,130,neutral
거리,130,neutral
추천,126,positive
아이,123,neutral
관리,121,neutral
냄새,119,negative
아침,118,neutral
매우,116,neutral
그냥,114,neutral
수건,111,neutral
여기,111,neutral
주인,111,neutral
저희,110,neutral
후기,110,neutral
청소,109,neutral
덕분,109,positive
고기,108,neutral
에어컨,103,neutral
상태,100,neutral
사용,99,neutral
다른,99,neutral
이불,98,neutral
처음,97,neutral
다만,95,neutral
주시,95,neutral
방이,91,neutral
접근성,88,positive
기분,88,neutral
스파,84,positive
친구,84,positive
사람,82,neutral
보고,82,neutral
풍경,82,neutral
관광지,81,positive
가성,80,neutral
도착,80,neutral
추억,80,positive
저녁,80,neutral
소리,80,neutral
바닥,79,neutral
경치,79,neutral
분위기,79,neutral
담양,79,neutral
여름,78,neutral
준비,78,neutral
부모님,77,positive
테라스,77,positive
모두,76,neutral
내부,75,neutral
직원,74,neutral
미리,73,neutral
하루,73,neutral
무엇,72,neutral
포차,72,positive
신경,70,neutral
계곡,70,positive
느낌,68,neutral
낭만,68,positive
추가,67,neutral
가면,67,neutral
날씨,65,neutral
만족,64,positive
숙박,62,neutral
일단,62,neutral
편의점,62,neutral
정원,60,neutral
순천,60,neutral
조식,60,positive
모든,59,neutral
물놀이,59,positive
물이,59,neutral
서비스,58,neutral
순천만,55,positive
걱정,55,positive
입실,54,neutral
카페,53,positive
체크,52,neutral
공기,52,neutral
가기,51,neutral
마음,51,neutral
오션,51,positive
복층,50,positive
때문,50,neutral
맛집,49,positive
구비,49,positive
주차,48,positive
전체,48,neutral
끼리,47,neutral
부분,47,neutral
공간,46,neutral
온수,46,positive
리뷰,46,neutral
마트,46,positive
개인,46,neutral
수압,45,neutral
고양이,45,neutral
별로,45,negative
가요,45,neutral
건물,44,neutral
제대로,44,positive
숯불,44,neutral
개별,44,neutral
장도,43,neutral
친절,42,positive
바람,42,neutral
계단,42,negative
휴가,42,neutral
가지,42,neutral
호텔,42,neutral
의사,42,neutral
야경,42,positive
완전,42,neutral
컨디션,41,positive
부부,41,neutral
냉장고,41,neutral
안내,40,neutral
여러,40,neutral
야외,40,neutral
전반,40,neutral
이번,39,neutral
사모님,39,neutral
자고,39,neutral
방음,39,negative
대비,38,neutral
식당,38,neutral
가장,38,positive
무조건,38,neutral
내외,38,neutral
산책,38,positive
기대,38,positive
난방,37,neutral
습지,37,neutral
실내,37,neutral
계속,37,neutral
이상,36,neutral
식기,36,neutral
엄마,36,neutral
타고,36,neutral
창문,36,neutral
독채,36,neutral
살짝,35,neutral
구경,35,neutral
편이,35,neutral
모기,35,negative
곰팡이,35,negative
운영,34,neutral
직접,34,neutral
기회,34,positive
모시,33,negative
동안,33,neutral
전혀,33,neutral
택시,33,neutral
제일,33,neutral
노후,33,negative
거실,33,neutral
자체,33,neutral
강아지,33,neutral
시골,33,neutral
녹차,33,neutral
주신,32,neutral
마당,32,neutral
기본,32,neutral
한번,32,neutral
주방,31,neutral
배려,31,positive
차로,31,positive
전화,31,neutral
강추,31,positive
먼지,30,negative
이서,30,neutral
약간,30,neutral
샤워,30,neutral
겨울,30,neutral
일찍,30,neutral
나중,29,neutral
주차장,29,neutral
음식,29,positive
마리,29,neutral
손님,28,neutral
커피,28,positive
라면,28,positive
장점,28,positive
그릇,28,neutral
가게,28,neutral
단점,28,negative
칫솔,28,neutral
그릴,28,neutral
편의,27,neutral
세심,27,positive
오기,27,neutral
위생,27,neutral
고민,27,neutral
인원,27,neutral
기류,27,neutral
수기,27,neutral
우선,27,neutral
우리,26,neutral
번창,26,positive
항상,26,positive
참고,26,positive
머리카락,26,negative
선택,26,neutral
보일러,26,neutral
프로방스,26,neutral
수영,26,positive
대박,25,neutral
크기,25,neutral
그거,25,neutral
거의,25,neutral
전망,25,positive
기억,25,neutral
관광,25,neutral
아기,24,neutral
해주시,24,neutral
시내,24,neutral
응대,24,neutral
그대로,24,neutral
만큼,24,neutral
온도,24,neutral
해수욕장,24,neutral
또한,23,neutral
인테리어,23,positive
비용,23,neutral
주위,23,neutral
나름,22,neutral
예정,22,positive
샴푸,22,neutral
묵고,22,positive
길이,22,neutral
욕실,22,neutral
문제,22,neutral
자연,22,neutral
무료,22,positive
남자,22,neutral
빌라,22,neutral
낚시,22,neutral
다소,21,neutral
설명,21,positive
감동,21,positive
맞이,21,positive
새벽,21,neutral
마을,21,neutral
드라이기,21,neutral
베란다,20,neutral
구조,20,neutral
등등,20,neutral
이동,20,neutral
일회용,20,neutral
당황,20,negative
소음,20,negative
입구,20,neutral
퇴실,20,neutral
확인,20,neutral
지금,20,positive
노을,20,positive
메타,20,neutral
청산도,20,neutral
대해,19,neutral
위해,19,neutral
방안,19,neutral
전자레인지,19,positive
프라이,19,neutral
운치,19,positive
역시,19,neutral
장님,19,neutral
도로,19,neutral
데리,19,neutral
테이블,19,neutral
해도,19,neutral
전기,19,neutral
완도,19,neutral
욕조,18,neutral
휴식,18,positive
말씀,18,neutral
고요,18,positive
나무,18,neutral
깨끗,18,positive
더욱,18,neutral
아주머니,18,neutral
지도,18,neutral
크게,18,positive
내내,18,neutral
동네,18,neutral
국가,17,neutral
어디,17,neutral
잡고,17,neutral
원래,17,positive
베개,17,neutral
하니,17,neutral
경관,17,positive
아저씨,17,neutral
도보,17,positive
정리,17,positive
바퀴벌레,17,negative
문의,17,neutral
장소,17,neutral
보이,17,neutral
전부,17,neutral
마지막,17,neutral
케이블카,17,neutral
문자,16,neutral
그것,16,neutral
코로나,16,neutral
치약,16,neutral
고장,16,negative
굿굿,16,positive
갑자기,16,neutral
아래,16,neutral
안쪽,16,neutral
남자친구,16,neutral
필요,16,neutral
보성,16,neutral
커서,16,neutral
이틀,16,neutral
달라,16,neutral
바베큐,16,neutral
어른,15,neutral
부엌,15,neutral
도구,15,neutral
외부,15,neutral
경험,15,neutral
한잔,15,neutral
티브이,15,neutral
연휴,15,neutral
옆방,15,negative
용품,15,neutral
부족함,15,neutral
외관,15,neutral
예상,15,neutral
양념,15,neutral
곳도,15,neutral
가까이,15,neutral
감사,15,positive
자마자,15,neutral
주말,15,positive
천장,15,neutral
미온수,15,neutral
금액,15,positive
바닷가,15,positive
리조트,15,neutral
대한,14,neutral
연락,14,neutral
자주,14,positive
커튼,14,neutral
제공,14,neutral
프로,14,neutral
간다,14,neutral
체험,14,neutral
워시,14,neutral
소금,14,neutral
쓰레기,14,negative
가을,14,neutral
얼마,14,neutral
기준,14,neutral
서도,14,neutral
일출,14,neutral
튜브,14,neutral
여유,14,positive
파리,14,negative
녹원,14,neutral
미니,14,neutral
감성,14,neutral
뚜벅,14,neutral
기도,14,neutral
단체,13,neutral
곳곳,13,neutral
커플,13,neutral
지인,13,neutral
일정,13,neutral
비치,13,neutral
가야,13,neutral
선풍기,13,neutral
계획,13,neutral
보디,13,neutral
물품,13,positive
환경,13,neutral
공용,13,neutral
만족도,13,neutral
천막,13,neutral
연결,13,neutral
오히려,13,neutral
린스,13,positive
자기,13,neutral
머리,13,neutral
어메니티,13,neutral
카라반,13,neutral
평일,13,neutral
분리,12,neutral
진심,12,neutral
할인,12,positive
요금,12,neutral
냄비,12,neutral
이해,12,neutral
가도,12,neutral
지리산,12,neutral
잠도,12,positive
수도,12,neutral
얘기,12,neutral
당일,12,neutral
조절,12,neutral
사실,12,neutral
거미줄,12,negative
산속,12,positive
의자,12,neutral
깜짝,12,neutral
무척,12,positive
픽업,12,neutral
섬진강,12,neutral
설거지,12,neutral
대신,12,neutral
여자,12,neutral
금방,12,neutral
작동,12,neutral
후회,12,negative
조명,12,positive
차량,12,neutral
할머니,12,neutral
이야기,12,neutral
뭔가,12,negative
환상,12,positive
옥상,12,positive
파도,12,neutral
모텔,11,neutral
먼저,11,neutral
단지,11,neutral
경우,11,neutral
소파,11,neutral
해결,11,positive
애견,11,neutral
사이,11,neutral
실망,11,negative
보통,11,neutral
구례,11,neutral
외풍,11,neutral
찾기,11,neutral
먹기,11,neutral
낙안읍성,11,neutral
신축,11,positive
인근,11,neutral
글램핑,11,positive
불판,11,neutral
버스,11,neutral
남편,11,neutral
거미,11,negative
업그레이드,11,positive
감탄,11,positive
잠깐,11,neutral
사서,11,neutral
모임,11,neutral
해변,11,neutral
산책로,11,neutral
옥펜션,11,neutral
칭찬,11,positive
가세,11,neutral
여자친구,11,positive
가능,11,positive
포토,11,neutral
고흥,11,neutral
해남,11,neutral
인사,10,neutral
매트리스,10,neutral
주심,10,neutral
심지어,10,neutral
비도,10,neutral
절대,10,negative
해먹,10,neutral
음식점,10,positive
아쉬움,10,negative
방바닥,10,neutral
거기,10,neutral
꿀잠,10,positive
최악,10,negative
방충,10,neutral
세고,10,neutral
아예,10,neutral
넷플릭스,10,positive
인상,10,neutral
외진,10,neutral
주의,10,neutral
잔디,10,neutral
센스,10,positive
오시,10,neutral
구석구석,10,neutral
의향,10,neutral
실제,10,neutral
기차,10,neutral
결정,10,neutral
주차공간,10,neutral
장터,10,neutral
요즘,10,positive
취소,10,neutral
내년,10,neutral
마련,10,neutral
불구,10,neutral
교체,10,neutral
마치,10,neutral
취사,10,neutral
혼자,10,neutral
얼마나,10,neutral
원룸,10,neutral
쓰기,10,neutral
수준,10,neutral
수가,10,neutral
간식,10,neutral
호실,10,neutral
풀이,10,neutral
장인,10,neutral
성인,9,neutral
관리자,9,neutral
비교,9,positive
식탁,9,neutral
이유,9,neutral
언제,9,neutral
적극,9,positive
환기,9,negative
동반,9,positive
한참,9,neutral
텐트,9,neutral
캠핑,9,neutral
개선,9,neutral
산이,9,positive
여기저기,9,neutral
하룻밤,9,neutral
중간,9,neutral
검색,9,neutral
비품,9,neutral
공사,9,negative
슈퍼,9,positive
식구,9,neutral
기념,9,neutral
일몰,9,positive
축제,9,positive
고생,9,neutral
전경,9,neutral
물건,9,neutral
혹시,9,neutral
와이파이,9,positive
먹거리,9,positive
찬물,9,negative
김치,9,neutral
종일,9,neutral
요청,9,neutral
정성,9,positive
인생,9,neutral
장모님,9,neutral
메타세쿼이아,9,neutral
수풀,9,neutral
노곤,9,positive
재미나,9,neutral
생수,9,neutral
첫날,9,neutral
나주,9,neutral
편백,9,neutral
이글,9,neutral
하멜,9,neutral
인피니티,9,neutral
이순신,9,positive
게다가,8,neutral
세트,8,neutral
불멍,8,neutral
투숙,8,neutral
모습,8,neutral
화장,8,neutral
체크아웃,8,neutral
싱크대,8,neutral
이면,8,neutral
매점,8,neutral
잘못,8,negative
규모,8,neutral
개미,8,neutral
족구,8,neutral
설치,8,neutral
중이,8,neutral
친정,8,positive
감안,8,neutral
걸이,8,neutral
아들,8,neutral
출발,8,neutral
코스,8,neutral
단독,8,positive
온돌방,8,positive
노래방,8,neutral
강력,8,positive
종류,8,neutral
신청,8,neutral
모기향,8,neutral
런가,8,neutral
짱짱,8,positive
세면대,8,neutral
파티,8,neutral
연인,8,neutral
맑은,8,positive
조리,8,neutral
편백나무,8,neutral
잔뜩,8,neutral
분도,8,neutral
커버,8,negative
필수,8,positive
아쿠아리움,8,neutral
박물관,8,neutral
쪼금,7,neutral
위층,7,neutral
눈치,7,negative
통해,7,neutral
올해,7,neutral
구울,7,neutral
비누,7,neutral
프라이팬,7,neutral
박만,7,neutral
시작,7,neutral
려고,7,neutral
오후,7,neutral
언덕,7,neutral
불친절,7,negative
일어나서,7,neutral
연장,7,neutral
부탁,7,neutral
인지,7,neutral
가스,7,neutral
자리,7,neutral
운전,7,neutral
보지,7,neutral
작성,7,neutral
사과,7,neutral
반려견,7,neutral
발생,7,neutral
고려,7,neutral
계절,7,neutral
높이,7,neutral
보시,7,neutral
자차,7,neutral
선정,7,neutral
향기,7,neutral
그때,7,neutral
무난,7,positive
기름,7,neutral
딸아이,7,neutral
이건,7,negative
잠자리,7,neutral
발코니,7,neutral
작년,7,neutral
최상,7,positive
방해,7,neutral
사이즈,7,neutral
빵빵,7,positive
며칠,7,neutral
음악,7,neutral
온돌,7,neutral
담번,7,neutral
일행,7,neutral
별도,7,neutral
조명도,7,positive
키즈,7,neutral
변기,7,negative
하나로마트,7,positive
아무,7,neutral
맞은편,7,neutral
태풍,7,neutral
담배,7,negative
하늘,7,neutral
예술,7,neutral
겨우,7,neutral
조미료,7,neutral
통창,7,neutral
아빠,7,neutral
그게,7,neutral
수저,7,neutral
생일,7,neutral
입욕,7,neutral
주요,7,neutral
잔디밭,7,neutral
공원,7,neutral
김밥,7,neutral
포함,7,neutral
데스크,7,neutral
난리,7,neutral
광장,7,positive
월풀,7,positive
해상,7,neutral
갯벌,7,neutral
신고,6,neutral
임시,6,neutral
대로,6,neutral
소개,6,neutral
쿠폰,6,positive
도움,6,positive
피로,6,positive
거품,6,neutral
전기장판,6,neutral
생활,6,neutral
결제,6,neutral
모델링,6,positive
각각,6,neutral
오전,6,neutral
일반,6,neutral
와인잔,6,neutral
찜질방,6,positive
평점,6,neutral
복도,6,neutral
호수,6,neutral
댕댕,6,positive
오르막,6,neutral
이제,6,neutral
솔솔,6,neutral
사고,6,neutral
락스,6,neutral
둘이서,6,neutral
세탁,6,neutral
발견,6,positive
정돈,6,positive
거울,6,neutral
매일,6,neutral
얼룩,6,negative
첨부,6,neutral
포기,6,negative
정수기,6,positive
네이버,6,neutral
사랑,6,positive
와이프,6,neutral
자전거,6,positive
침실,6,neutral
조카,6,neutral
자꾸,6,neutral
가득,6,neutral
어르신,6,neutral
선물,6,neutral
자국,6,negative
대여,6,neutral
멀리,6,neutral
냉동,6,neutral
젓가락,6,neutral
전날,6,neutral
누가,6,neutral
볼거리,6,positive
포장,6,neutral
이구,6,neutral
기계,6,positive
소주잔,6,neutral
막걸리,6,neutral
한마디,6,neutral
시장,6,positive
순간,6,neutral
비데,6,neutral
통화,6,neutral
깜놀,6,negative
카운터,6,neutral
세면,6,neutral
쓰시,6,neutral
하수,6,neutral
오동도,6,neutral
숙박시설,6,neutral
구석,6,negative
딸기,6,neutral
해안,6,positive
히노끼,6,positive
명사,6,neutral
십리,6,neutral
방향,5,neutral
세상,5,neutral
집기,5,neutral
가위,5,neutral
관리인,5,neutral
권리,5,neutral
침해,5,neutral
차단,5,neutral
신랑,5,neutral
친척,5,neutral
고객,5,neutral
최대,5,neutral
콸콸,5,neutral
대요,5,neutral
요리,5,positive
탁자,5,neutral
독립,5,neutral
굳이,5,neutral
특성,5,neutral
시국,5,neutral
한숨,5,negative
식용유,5,neutral
불도,5,neutral
제트,5,neutral
집게,5,neutral
허리,5,neutral
특유,5,neutral
재료,5,neutral
지네,5,neutral
물티슈,5,neutral
만점,5,positive
여행객,5,neutral
식사,5,positive
어머니,5,neutral
흔적,5,neutral
과자,5,neutral
수고,5,positive
매번,5,neutral
음식물,5,neutral
무슨,5,neutral
방법,5,neutral
공짜,5,positive
용량,5,neutral
밥솥,5,positive
독채펜션,5,neutral
등록,5,neutral
가정,5,neutral
조리기구,5,neutral
제품,5,neutral
대응,5,positive
현관,5,neutral
관련,5,neutral
둘째,5,neutral
무리,5,neutral
새소리,5,neutral
상세,5,neutral
나니,5,neutral
근접,5,positive
지역,5,neutral
엉망,5,neutral
경사,5,neutral
진입,5,neutral
기간,5,neutral
햇살,5,neutral
차도,5,neutral
정보,5,neutral
접시,5,neutral
처리,5,positive
인심,5,positive
클렌징,5,neutral
면도기,5,neutral
내용,5,neutral
일박,5,neutral
행주,5,neutral
국수,5,neutral
샤워실,5,neutral
배달,5,neutral
부담,5,negative
엘리베이터,5,neutral
초벌,5,neutral
새우,5,neutral
취하,5,neutral
고향,5,neutral
일이,5,neutral
노래,5,neutral
아버지,5,neutral
미온,5,neutral
현금,5,neutral
음료,5,positive
수세미,5,neutral
가운,5,neutral
자쿠지,5,neutral
민박,5,neutral
서울,5,neutral
유리,5,neutral
소주,5,neutral
사전,5,neutral
햇반,5,neutral
마무리,5,neutral
대중교통,5,neutral
결론,5,neutral
모로,5,neutral
서로,5,neutral
군데군데,5,neutral
산책길,5,positive
점검,5,negative
얼굴,5,neutral
엘베,5,neutral
더니,5,neutral
자서,5,neutral
양호,5,neutral
방과,5,neutral
엑스포,5,neutral
맥주,5,neutral
충전기,5,neutral
부산,5,neutral
벽지,5,neutral
분과,5,neutral
이름,5,neutral
각종,4,neutral
환풍기,4,neutral
쌈장,4,neutral
전등,4,neutral
초보,4,neutral
아기자기,4,neutral
명절,4,neutral
마중,4,neutral
동선,4,neutral
그림,4,neutral
말투,4,negative
잠시,4,neutral
평소,4,neutral
잡기,4,neutral
시즌,4,neutral
추후,4,neutral
사업,4,neutral
용이,4,neutral
냉방,4,neutral
본인,4,neutral
대기,4,neutral
고층,4,neutral
번화가,4,neutral
대전,4,neutral
난로,4,neutral
최적,4,positive
갈수,4,neutral
기운,4,neutral
산새,4,neutral
지대,4,neutral
한눈,4,neutral
추석,4,positive
실컷,4,neutral
완료,4,neutral
안이,4,neutral
인접,4,neutral
밤새,4,neutral
상황,4,neutral
날짜,4,neutral
여행지,4,neutral
휴지,4,neutral
제외,4,neutral
더욱더,4,neutral
숲속,4,neutral
다가,4,neutral
자도,4,neutral
창틀,4,neutral
첫인상,4,neutral
듭니,4,neutral
대부분,4,neutral
옆집,4,neutral
건너편,4,neutral
춥다,4,negative
장작,4,neutral
작은방,4,neutral
정신,4,neutral
배수,4,negative
부근,4,neutral
다행,4,neutral
추위,4,negative
표현,4,neutral
화엄사,4,neutral
고도,4,neutral
담날,4,neutral
누구,4,neutral
불편,4,negative
리모컨,4,neutral
미터,4,neutral
재미,4,positive
정문,4,neutral
요구,4,neutral
햇볕,4,neutral
교통,4,neutral
매년,4,neutral
조치,4,neutral
변경,4,neutral
걷기,4,neutral
주문,4,neutral
오라,4,neutral
버너,4,neutral
충격,4,negative
삼겹살,4,neutral
라서,4,neutral
유지,4,neutral
악취,4,negative
체적,4,neutral
구이,4,neutral
야채,4,neutral
사항,4,neutral
가시,4,neutral
차단기,4,neutral
토방,4,neutral
소품,4,neutral
광양,4,neutral
대가족,4,neutral
장마철,4,neutral
막상,4,negative
지금껏,4,neutral
초반,4,neutral
타임,4,neutral
광주,4,neutral
공지,4,neutral
깊이,4,neutral
스레,4,neutral
타월,4,neutral
여분,4,neutral
야옹이,4,neutral
치면,4,neutral
완벽,4,neutral
최근,4,neutral
서랍,4,neutral
나머지,4,neutral
근교,4,neutral
여러분,4,neutral
후끈,4,neutral
위로,4,positive
휴양지,4,neutral
기타,4,neutral
여사,4,neutral
손길,4,neutral
저격,4,neutral
수영복,4,neutral
낙후,4,neutral
고정,4,neutral
부대,4,neutral
극찬,4,positive
시어머니,4,neutral
채반,4,neutral
주로,4,neutral
담요,4,neutral
정상,4,positive
보임,4,neutral
누군가,4,neutral
창밖,4,neutral
그네,4,neutral
시청,4,neutral
개방,4,neutral
