부정,점수
빤빤스럽고,-1
빤빤스럽고 얄밉게,-1
빤빤하게,-1
빤빤하게 생긴,-1
빼돌려,-1
빼돌려 내다,-1
빼앗거나,-1
빼앗기,-1
빼앗기거나,-1
빼앗기고,-1
빼앗는,-1
빼앗는 돈을,-1
빼앗는 짓을,-1
빼앗다,-1
빼앗아,-1
빼앗아 가지다,-1
빼앗아 내다,-1
빼앗아 버리다,-1
빼앗으려고,-1
빼앗으려고 벼르다,-1
뺀질대다,-1
뻔뻔스러운,-1
뻔뻔스럽게,-1
뻔뻔스럽게 놀기만,-1
뻔뻔스럽고,-1
뻔뻔하게,-1
뻔뻔하다,-1
뼈마디가 아프며,-1
뼈마디가 저리고,-1
삐딱거리다,-1
삐딱대다,-1
삐딱하다,-1
삐뚤거리다,-1
삐뚤대다,-1
삐뚤어져서,-1
삐뚤어져서 가지런하지,-1
삐뚤어지다,-1
삐죽대다,-1
삐죽삐죽,-1
삐죽삐죽 투박한,-1
삐죽이,-1
사고나다,-1
사고를 당하여,-1
사납거나 불길하다,-1
사납고 무서운,-1
사람답지 못함,-1
사람을 낮잡아,-1
사람을 내쫓아,-1
사람을 몸져눕게,-1
사람을 못살게,-1
사람을 속이며,-1
사람을 업신여기는,-1
사람을 위협하거나,-1
사람을 처벌하여,-1
사람의 죽음을,-1
사람이 병이나,-1
사람이 죽어서,-1
사람이나 짐승을 죽이다,-1
사리에 어긋나게,-1
사리에 어두운,-1
사리에 어두운 사람,-1
사망하다,-1
사멸하는,-1
사멸하는 것,-1
사무치게 미워하는,-1
사무치게 미워하다,-1
사무치게 미워함,-1
사사로운 분노,-1
사세난연,-1
사세난연하다,-1
사악하다,-1
사악한,-1
사악한 모의,-1
사치스러운,-1
사형에,-1
사형에 처하다,-1
사형에 처함,-1
사형에 처해지다,-1
사회가 혼란스럽고,-1
삭막하다,-1
살기,-1
살기 있고,-1
살기 힘든,-1
살림이 어렵고,-1
살인자,-1
살인죄,-1
살지 못하고,-1
살해되다,-1
살해됨,-1
살해됨을,-1
살해하다,-1
상대를 몰아붙이듯이,-1
상대편을 위협하는,-1
상서롭지 못한,-1
상스러운,-1
상스러운 말,-1
상스러운 말로,-1
상스럽고,-1
상스럽다,-1
상습범,-1
상심,-1
상심하다,-1
상처,-1
상처 따위가,-1
상처가 많아,-1
상처가 생기고,-1
상처가 쓰리고,-1
상처를,-1
상처를 내다,-1
상처를 내면,-1
상처를 내어,-1
상처를 입게,-1
상처를 입다,-1
상처를 입히다,-1
상처를 입힘,-1
상처를 입힘으로써,-1
상태가 나쁘거나,-1
상태를 부정하거나,-1
상태를 부정하는,-1
상태를 어지럽게,-1
상하거나,-1
상하게,-1
상하게 되다,-1
상하게 하거나,-1
상하게 하다,-1
상하게 하여,-1
상하고,-1
상하다,-1
상하여,-1
상한,-1
상한 데가,-1
상함,-1
상해서,-1
상혼,-1
상혼하다,-1
샘하여 미워하다,-1
생각이 아득하다,-1
생기 없이,-1
생기가 없거나,-1
생기가 없고,-1
생기가 없는,-1
생기가 없다,-1
생기가 없어,-1
생기가 없어져,-1
생기가 없어지다,-1
생기가 없이,-1
생활이 곤궁하여,-1
서글퍼지다,-1
서글프다,-1
서글픔,-1
서글피,-1
서러운,-1
서러운 마음,-1
서러움,-1
서러워하다,-1
서러이,-1
서럽게,-1
서럽게 여기다,-1
서럽다,-1
서로 거칠게,-1
서운감,-1
서운하거나,-1
서운하거나 불만스럽게,-1
서운하게,-1
서운하게 여기다,-1
서운하고,-1
서운하고 아깝다,-1
서운하다,-1
서운한,-1
서운한 느낌,-1
서운한 느낌이,-1
서운한 모양,-1
서운함,-1
서운히,-1
선뜻 내키지 않아,-1
설움,-1
설움에,-1
설움에 겨워,-1
설움으로,-1
설움이,-1
설움이 북받쳐,-1
섬뜩,-1
섬뜩섬뜩,-1
섬뜩섬뜩하다,-1
섬뜩하다,-1
섭섭이,-1
섭섭하거나 불만스러운,-1
섭섭하거나 불만스럽게,-1
섭섭하거나 서운한,-1
섭섭하고 언짢게,-1
섭섭하고 언짢다,-1
성가시게,-1
성가시게 구는,-1
성가시게 굴다,-1
성가시게 달라붙어,-1
성가시게 달라붙어서,-1
성가시게 하는,-1
성가시게 하다,-1
성가시고,-1
성가시고 귀찮게,-1
성가시고 귀찮다,-1
성가시다,-1
성가시어,-1
성가실,-1
성가실 정도로,-1
성격이 사납고,-1
성나다,-1
성난,-1
성난 빛이,-1
성난 얼굴로,-1
성내다,-1
성내어,-1
성립되는 죄,-1
성립하는 범죄,-1
성미가 매우 느리고,-1
성미가 매우 무르고,-1
성을 내거나,-1
성을 내는,-1
성을 내다,-1
성을 내며,-1
성을 내어,-1
성을 냄,-1
성을 왈칵,-1
성을 잘 내는,-1
성을내다,-1
성의 없이,-1
성이 나거나,-1
성이 나다,-1
성이 나서,-1
성이 남,-1
성이나서,-1
성질나다,-1
성질내다,-1
성질부리다,-1
성질이 거세고,-1
성질이 거칠고,-1
성질이 깐깐하여,-1
성질이 깐작깐작하고,-1
성질이 악하고,-1
성질이 음흉한,-1
세력이 없는,-1
세상을 업신여기고,-1
세상의 종말,-1
세상이 망하는,-1
세속의 때를,-1
세월만 허비하는,-1
소동을 일으키는,-1
소동을 일으킴,-1
소란스러운,-1
소란스러운 소리가,-1
소란스러운 형세,-1
소란스러움,-1
소란스럽게,-1
소란스럽게 떠드는,-1
소란스럽게 이리저리,-1
소란스럽게 지르는,-1
소란스럽다,-1
소란이,-1
소란이 이는,-1
소란하게,-1
소란하게 떠벌리는,-1
소란하게 함,-1
소란하고,-1
소란해지거나,-1
소름,-1
소름끼치는,-1
소름이,-1
소름이 끼치는,-1
소름이 끼치다,-1
소름이 끼치도록,-1
소름이 끼칠,-1
소름이 돋는,-1
소스라치게,-1
소외,-1
소외감,-1
소외되다,-1
소용없다,-1
소용없이,-1
소용이 없음을,-1
소홀,-1
소홀하게,-1
소홀하다,-1
소홀히,-1
소홀히 여겨,-1
소홀히 하거나,-1
속되게,-1
속되게 이르는,-1
속박되다,-1
속상,-1
속상하다,-1
속셈이 음흉한,-1
속으로 불평스럽게,-1
속으로만 언짢고,-1
속을 썩이다,-1
속을 썩임,-1
속을 태우다,-1
속을 태우며,-1
속을 태움,-1
속이 거북하다,-1
속이 거북한,-1
속이 끓는,-1
속이 느글거리는,-1
속이 느글거리다,-1
속이 느끼하다,-1
속이 느끼해지는,-1
속이 느끼해지다,-1
속이 답답하다,-1
속이 답답한,-1
속이 답답함,-1
속이 매스껍고,-1
속이 매슥매슥하여,-1
속이 메스꺼워,-1
속이 메스껍고,-1
속이 메슥메슥하여,-1
속이 부글거리는,-1
속이 부글거리다,-1
속이 불편하거나,-1
속이 상하거나,-1
속이 상하고,-1
속이 상하여,-1
속이 상해서,-1
속이 아픈,-1
속이 언짢고,-1
속이 울렁거리는,-1
속이 울렁거리다,-1
속이 좁다,-1
속이 찌르듯이,-1
속이 타는,-1
속이거나,-1
속이고,-1
속이고 배반하다,-1
속이기,-1
속이기 위하여,-1
속이는,-1
속이는 모양,-1
속이다,-1
속이려는,-1
속이려는 모략,-1
속이려는 짓을,-1
속이며,-1
속인다는,-1
속인다는 뜻으로,-1
속임,-1
속임수,-1
속태,-1
손상되다,-1
손상된,-1
손상을 끼치다,-1
손상을 입음,-1
손상을 입힘,-1
손상이나 치욕,-1
손실이 생길,-1
손해,-1
손해 배상,-1
손해가,-1
손해가 되는,-1
손해나,-1
손해나 빚,-1
손해를,-1
손해를 끼치거나,-1
손해를 끼치다,-1
손해를 보거나,-1
손해를 보다,-1
손해를 보아서,-1
손해를 봄,-1
손해를 입다,-1
손해의,-1
송구스럽거나,-1
송구스럽게,-1
송구스럽게 망설이며,-1
쇠멸하다,-1
쇠약한,-1
쇠약한 데다,-1
쇠약해져서,-1
쇠약해지는,-1
쇠약해지는 일,-1
쇠약해진,-1
쇠약해진 사람을,-1
쇠약해진 지경을,-1
쇠잔하여,-1
쇠퇴하여,-1
쇠퇴하여 사멸하는,-1
쇠퇴한,-1
쇠퇴한 제도나,-1
쇠하여지다,-1
수면부족,-1
수준이 낮다,-1
수준이 낮은,-1
수준이 매우 낮아지다,-1
수척하다,-1
수치스러운,-1
수치와,-1
수치와 모욕을,-1
순간적으로 치미는,-1
순조롭게 하지 못하고,-1
순조롭지 못하게,-1
순조롭지 않거나,-1
순진하고 어리석은,-1
순탄하지 못하고,-1
순탄하지 않게,-1
순탄하지 않다,-1
순하고 어리석다,-1
순하지 않고,-1
순환의 장애로,-1
숨 막히듯이,-1
숨소리가 고르지 아니하고,-1
숨소리를 거칠게,-1
숨을 가쁘고,-1
숨이 가빠,-1
숨이 막히는,-1
숨이 막힐,-1
숨이 차고,-1
숨이 차는,-1
숨이 차서,-1
쉬거나,-1
쉰,-1
쉰 듯하다,-1
쉰 듯하여,-1
쉽게 노한다,-1
스산하고,-1
스트레스,-1
슬퍼,-1
슬퍼서,-1
슬퍼서 울거나,-1
슬퍼져서,-1
슬퍼지다,-1
슬퍼하고,-1
슬퍼하고 가슴,-1
슬퍼하다,-1
슬퍼하면서,-1
슬퍼하면서 탄식하다,-1
슬퍼하면서 탄식함,-1
슬퍼함,-1
슬프게,-1
슬프게 끝나는,-1
슬프게 여기다,-1
슬프게 우는,-1
슬프게 한탄하다,-1
슬프게 한탄함,-1
슬프고,-1
슬프고 가슴,-1
슬프고 괴롭다,-1
슬프고 끔찍하게,-1
슬프고 끔찍하다,-1
슬프고 끔찍함,-1
슬프고 아까움,-1
슬프고 아깝다,-1
슬프기,-1
슬프기 그지없다,-1
슬프기 그지없음,-1
슬프다,-1
슬프도다,-1
슬픈,-1
슬픈 마음으로,-1
슬픈 마음이나,-1
슬플,-1
슬플 때,-1
슬픔,-1
슬픔으로,-1
슬픔을,-1
슬픔을 느끼다,-1
슬픔이,-1
슬픔이나,-1
슬픔이나 걱정,-1
슬픔이나 연민이나,-1
슬피,-1
슬피 울부짖음,-1
슬피 탄식함,-1
시기하고 미워함을,-1
시기하는,-1
시기하는 일을,-1
시기하다,-1
시기하여,-1
시기함,-1
시끄럽거나,-1
시끄럽게,-1
시끄럽게 떠드는,-1
시끄럽게 떠들고,-1
시끄럽게 떠들다,-1
시끄럽게 오락가락하고,-1
시끄럽고,-1
시끄럽고 부산하게,-1
시끄럽다,-1
시끌시끌한 모양,-1
시달리다,-1
시달림,-1
시달림으로,-1
시답지 않게,-1
시대에 뒤떨어져,-1
시든,-1
시든 풀처럼,-1
시들고,-1
시들고 말라서,-1
시들다,-1
시들대다,-1
시들면서,-1
시들시들,-1
시들시들 잘아,-1
시들어,-1
시들어서,-1
시들어서 우그러지고,-1
시들하게,-1
시들하다,-1
시들한,-1
시들한 데가,-1
시들한 모양,-1
시들해져서,-1
시들해져서 싫증이나,-1
시련이 많다,-1
시름시름,-1
시름시름 앓는,-1
시름시름 앓다,-1
시름하는,-1
시름하는 마음이,-1
시름하여,-1
시망,-1
시무룩,-1
시무룩하다,-1
시묵룩이,-1
시비,-1
시비 걸기를,-1
시비가,-1
시비에,-1
시비하는,-1
시비하는 짓,-1
시새움,-1
시샘,-1
시샘이,-1
시샘이 나서,-1
시시하다,-1
시시한,-1
시원찮다,-1
시체를,-1
신경 쇠약,-1
신경이 마비되거나,-1
신중히 생각하지 아니하고,-1
신체에 상처를,-1
싣기 불편할,-1
실답지 못하게,-1
실답지 못하다,-1
실답지 못한,-1
실망,-1
실망감,-1
실망낙담,-1
실망낙담하다,-1
실망스럽고,-1
실망스럽다,-1
실망하다,-1
실망한,-1
실망함,-1
실속 없는,-1
실속없이,-1
실속없이 허황하며,-1
실속은 없고,-1
실속은 없으면서,-1
실속이 없게,-1
실속이 없고,-1
실속이 없는,-1
실속이 없다,-1
실심,-1
실심하다,-1
실없거나,-1
실없고,-1
실없는,-1
실없는 말로,-1
실없는 말이나,-1
실없는 사람을,-1
실없는 행동이나,-1
실없다,-1
실없이,-1
실없이 건드려,-1
실없이 경망스럽게,-1
실없이 경솔하게,-1
실없이 굴다,-1
실없이 까불며,-1
실없이 꺼불거리고,-1
실없이 놀리다,-1
실없이 말하는,-1
실없이 말하다,-1
실없이 방정맞게,-1
실없이 이야기하는,-1
실패나,-1
실패로,-1
실패로 돌아가다,-1
실패로 돌아감,-1
실패하거나,-1
실패함을,-1
실하지 못하여,-1
실하지 못한,-1
싫거나,-1
싫거나 언짢은,-1
싫게,-1
싫게 떠들썩하다,-1
싫게 여기다,-1
싫고,-1
싫다,-1
싫다고,-1
싫다는 표시로,-1
싫도록,-1
싫어나다,-1
싫어서,-1
싫어지거나,-1
싫어지다,-1
싫어하고,-1
싫어하고 미워하는,-1
싫어하고 미워할,-1
싫어하고 미워함,-1
싫어하는,-1
싫어하는 모양,-1
싫어하는 태도나,-1
싫어하다,-1
싫어하여,-1
싫어함을,-1
싫어해,-1
싫은,-1
싫은 것이,-1
싫은 듯이,-1
싫은 생각,-1
싫은 소리,-1
싫은 일을,-1
싫은 체하며,-1
싫은 환경에,-1
싫을,-1
싫을 정도로,-1
싫이,-1
싫증,-1
싫증 남으로,-1
싫증이,-1
싫증이 나거나,-1
싫증이 나다,-1
싫증이 나서,-1
싫증이 난,-1
싫증이나,-1
싫증이나 게으름이,-1
심각성,-1
심각하게,-1
심각하게 생각하고,-1
심각한,-1
심각한 상태를,-1
심리적인 충격,-1
심술,-1
심술궂게,-1
심술궂고,-1
심술궂다,-1
심술궂은,-1
심술궂은 행동을,-1
심술꾸러기,-1
심술부리다,-1
심술스럽다,-1
심술을,-1
심술을 부리는,-1
심술을 부리다,-1
심술이,-1
심술이 매우,-1
심술이나,-1
심술이나 안타깝게,-1
심술이나 화가,-1
심술쟁이,-1
심오하다,-1
심장 질환,-1
심장마비,-1
심장병,-1
심장병 따위로,-1
심하거나,-1
심하거나 지나치다,-1
심하게,-1
심하게 구박하거나,-1
심하게 기울어지는,-1
심하게 기울어지며,-1
심하게 꾸짖어,-1
심하게 놀러,-1
심하게 놀리다,-1
심하게 당한,-1
심하게 되다,-1
심하게 따지며,-1
심하게 떠는,-1
심하게 물크러질,-1
심하게 손해를,-1
심하게 썩거나,-1
심하게 앓는,-1
심하게 어지러워지는,-1
심하게 얽은,-1
심하게 욕하며,-1
심하게 울렁거리는,-1
심하게 울렁거리다,-1
심하게 을러대고,-1
심하게 일어나다,-1
심하게 짓눌러,-1
심하게 트림하는,-1
심하게 풍기는,-1
심하게 학대하다,-1
심하다,-1
심하면,-1
심하면 아프다,-1
심하면 피가,-1
심한,-1
심한 것을,-1
심한 고생이나,-1
심한 고통,-1
심한 고통이나,-1
심한 냄새가,-1
심한 복통을,-1
심한 상태에,-1
심한 아픔,-1
심한 압박감을,-1
심한 추위를,-1
심한 통증,-1
심한 통증을,-1
심한 혐오감을,-1
심해지는 병,-1
심히 모자라는,-1
심히 아파서,-1
싸우는 짓,-1
싸우다,-1
싸움에서 패하고,-1
쌓인 원망과,-1
쌓인 원한이나,-1
쌓인 음기,-1
썩거나,-1
썩는,-1
썩는 병,-1
썩어서,-1
썩이다,-1
썩임,-1
쏘아붙이는,-1
쏘아붙이는 소리,-1
쑤시듯 아픈,-1
쑤시듯이 아프다,-1
쓰라리다,-1
쓰라린,-1
쓰라린 경험을,-1
쓰라린 느낌이,-1
쓰라린 아픔을,-1
쓰라림,-1
쓰라림 따위가,-1
쓰러져,-1
쓰러지거나,-1
쓰러지다,-1
쓰러질,-1
쓰러질 듯이,-1
쓰러질 듯하게,-1
쓰러질 듯하고,-1
쓰러질 듯하다,-1
쓰러질 듯한,-1
쓰리고,-1
쓰리고 아리다,-1
쓰리고 아픈,-1
쓰리고 아픔,-1
쓰리다,-1
쓰리며 아픈,-1
쓰며,-1
쓰지 아니함,-1
쓸데없거나,-1
쓸데없는,-1
쓸데없는 것들을,-1
쓸데없는 말을,-1
쓸데없는 말이나,-1
쓸데없는 소리,-1
쓸데없는 소리를,-1
쓸데없다,-1
쓸데없음을,-1
쓸데없음을 이르는,-1
쓸데없이,-1
쓸데없이 지루하게,-1
쓸데없이 집적거리며,-1
쓸데없이 짓궃게,-1
쓸모가 없는,-1
쓸모가 없다,-1
쓸모가 없음을,-1
쓸모가 없이,-1
쓸모없다,-1
쓸모없이,-1
쓸쓸하게,-1
쓸쓸하고,-1
쓸쓸하고 막막하다,-1
쓸쓸하고 외로운,-1
쓸쓸하고 외로워,-1
쓸쓸하다,-1
쓸쓸한,-1
쓸쓸한 느낌을,-1
쓸쓸한 등불이라는,-1
쓸쓸한 밤을,-1
쓸쓸함,-1
쓸쓸히,-1
쓸쓸히 자는,-1
아니꼬운,-1
아니꼬운 일을,-1
아니꼬울 때,-1
아니꼽거나,-1
아니꼽거나 시샘이,-1
아니꼽다,-1
아니하고 가볍다,-1
아니하고 걱정스럽다,-1
아니하고 괴로움,-1
아니하고 괴롭다,-1
아니하고 데면데면하게,-1
아니하고 데면데면하다,-1
아니하고 조마조마하게,-1
아니하고 조마조마하다,-1
아니하고 조마조마한,-1
아니하고 조마조마함,-1
아니하여 못마땅하게,-1
아니하여 섭섭하거나,-1
아니하여 싫거나,-1
아니한 상태가,-1
아니한다고 투덜거리다,-1
아둔하고,-1
아둔하고 약빠르지,-1
아리고,-1
아리고 자리다,-1
아리다,-1
아무 값어치나 의의가 없다,-1
아무 쓸모가 없음을,-1
아무것도 없는,-1
아무것도 없다,-1
아무것도 없어서,-1
아무것도 없으면서,-1
아아 슬프도다,-1
아주 고통스럽거나,-1
아주 귀찮게,-1
아주 꺼리는,-1
아주 더럽게,-1
아주 망치다,-1
아주 맥없이,-1
아주 못된,-1
아주 방정맞게,-1
아주 보잘것없다,-1
아주 보잘것없음,-1
아주 심하게,-1
아주 심한,-1
아주 야단스럽고,-1
아주 어리석고,-1
아주 요란스럽게,-1
아주 저버리다,-1
아주 지겹도록,-1
아주 치사하고,-1
아파,-1
아파 오다,-1
아파서,-1
아파서 애달프게,-1
아파서 얄미울,-1
아파서 자꾸,-1
아파하는,-1
아파하는 일,-1
아파하는 증상,-1
아파하다,-1
아프거나,-1
아프거나 무서워서,-1
아프게,-1
아프게 느껴지다,-1
아프게 되는,-1
아프게 되다,-1
아프게 치다,-1
아프고,-1
아프고 가엽다,-1
아프고 괴롭게,-1
아프고 괴롭다,-1
아프고 답답하게,-1
아프고 답답하다,-1
아프고 메스꺼워,-1
아프다,-1
아프며,-1
아프며 약하면,-1
아프면서,-1
아픈,-1
아픈 경우를,-1
아픈 느낌,-1
아픈 느낌이,-1
아픈 데가,-1
아픈 듯하면서도,-1
아픈 듯한,-1
아픈 모양,-1
아픈 병,-1
아픈 병증,-1
아픈 임질,-1
아픈 증상,-1
아픈 증상이,-1
아픈 증세에,-1
아플,-1
아플 만큼,-1
아픔,-1
아픔을,-1
아픔을 느끼다,-1
아픔을 호소하는,-1
악독하게,-1
악독한,-1
악독한 방법으로,-1
악독한 사람을,-1
악마,-1
악몽,-1
악성,-1
악순환,-1
악업,-1
악업을,-1
악에,-1
악에 받쳐서,-1
악연,-1
악을 쓰고,-1
악의,-1
악의적인,-1
악인연,-1
악플,-1
악하고,-1
악하고 모질게,-1
악하고 모질다,-1
악하고 모짊,-1
악하다,-1
악한,-1
악한 짓을,-1
악한 첩,-1
악화되다,-1
안 좋은,-1
안심찮다,-1
안좋은 상황,-1
안타까울,-1
안타까울 정도로,-1
안타까워,-1
안타까워서,-1
안타까워하는,-1
안타까워하는 모양,-1
안타까워하다,-1
안타깝거나,-1
안타깝거나 쓰라리다,-1
안타깝게,-1
안타깝게 뉘우쳐져,-1
안타깝게 다가오는,-1
안타깝게 여기다,-1
안타깝게 자꾸,-1
안타깝게 죄이거나,-1
안타깝게 타는,-1
안타깝게 타다,-1
안타깝게 타들어,-1
안타깝고,-1
안타깝고 만족스럽지,-1
안타깝다,-1
않고 좀스럽게,-1
앓거나,-1
앓거나 허약하여져서,-1
앓고,-1
앓고 난,-1
앓는,-1
앓는 결핵,-1
앓는 모양,-1
앓는 사람이,-1
앓는 상태에,-1
앓다,-1
앓아도,-1
앓음,-1
암상스러운,-1
암상스러운 사람을,-1
암상스럽게,-1
암상스럽게 불평을,-1
암상스럽게 토달거리다,-1
암으로,-1
압억되다,-1
앙갚음으로,-1
앙갚음하려고,-1
앙갚음하려고 하는,-1
앙갚음할,-1
앙갚음할 마음을,-1
앞이 막막하게,-1
애달파하는,-1
애달파하는 일,-1
애달파하다,-1
애달프게,-1
애달프게 자꾸,-1
애달프게 짖는,-1
애달프다,-1
애도함,-1
애석,-1
애석하다,-1
애절한,-1
애절한 그리움,-1
애처로이,-1
애처롭거나,-1
애처롭게,-1
애처롭고,-1
애처롭고 쓸쓸하다,-1
애처롭다,-1
애탄,-1
애통,-1
애통하다,-1
애통할,-1
애통할 때,-1
애통히,-1
야멸치게,-1
야멸치게 말하다,-1
야멸치고,-1
야멸치고 인정이,-1
야무지지 못하고,-1
야무지지 못하다,-1
야무지지 못하여,-1
야무지지 못한,-1
야박스럽다,-1
야박히,-1
야비하다,-1
야비한,-1
야살스러운,-1
야살스러운 데가,-1
야살스러움,-1
야살스럽게,-1
야살스럽게 웃는,-1
야속,-1
야속스럽다,-1
야속스레,-1
야속하게,-1
야속하게 여겨,-1
야속하게 여기는,-1
야속하다,-1
야속히,-1
야유할,-1
야유할 때,-1
야풍,-1
약간 고까워하는,-1
약간 곯은,-1
약은 사람,-1
약을 올리거나,-1
약이 올라,-1
약점,-1
약탈하거나,-1
약탈하거나 노략질하는,-1
약탈하거나 노략질함을,-1
얄망궃고,-1
얄망궃고 능청스러운,-1
얄미운,-1
얄미운 데가,-1
얄미운 태도로,-1
얄미울,-1
얄미울 정도로,-1
얄밉게,-1
얄밉게 구는,-1
얄밉게 넘어다보는,-1
얄밉게 놀기만,-1
얄밉게 빈정거리며,-1
얄밉게 우는,-1
얄밉게 이죽이죽하면서,-1
얄밉게 흔들리거나,-1
얄밉고,-1
얄밉다,-1
얌전하지 않아,-1
얕잡거나,-1
얕잡거나 업신여기다,-1
얕잡아,-1
얕잡아 보다,-1
얕잡아 봄,-1
어긋나 나쁘다,-1
어긋나는 생각,-1
어긋나는 생각을,-1
어려우며,-1
어려운,-1
어려운 고비를,-1
어려운 대목에서,-1
어려운 데가,-1
어려운 모양,-1
어려운 버릇,-1
어려운 병,-1
어려운 상태가,-1
어려운 상태이다,-1
어려운 상황을,-1
어려운 일에,-1
어려운 일을,-1
어려운 일이나,-1
어려운 지경에,-1
어려운 지경에서,-1
어려운 처지나,-1
어려운 처지에,-1
어려운 형편에,-1
어려울,-1
어려울 정도로,-1
어려움,-1
어려움에,-1
어려워,-1
어려워서,-1
어려워서 애를 먹는,-1
어려워하는,-1
어려워하는 모양,-1
어려워하다,-1
어렵거나,-1
어렵거나 곤란하게,-1
어렵거나 곤란하다,-1
어렵거나 부끄럽다,-1
어렵게,-1
어렵게 살아가는,-1
어렵게 여기다,-1
어렵게 힘들여,-1
어렵고,-1
어렵고 쪼들린,-1
어렵다,-1
어리석게,-1
어리석게 구는,-1
어리석고,-1
어리석고 둔한,-1
어리석고 못된,-1
어리석다,-1
어리석어,-1
어리석어 보이는,-1
어리석어서,-1
어리석으며,-1
어리석은,-1
어리석은 데가,-1
어리석은 듯하다,-1
어리석은 말이나,-1
어리석은 사람,-1
어리석은 사람을,-1
어리석은 사람의,-1
어리석은 사람이라는,-1
어리석은 질문에,-1
어리석은 짓,-1
어리석은 행동,-1
어리석음,-1
어리숙하다,-1
어줍거나,-1
어줍잖다,-1
어지간히 보잘것없고,-1
어지러운 일을,-1
어지러워 까무러칠,-1
어지럽고 메스꺼워,-1
어지럽고 아프며,-1
어쭙잖다,-1
억누루는 짓,-1
억누루는 짓을,-1
억누르거나,-1
억누르거나 참다,-1
억누르고,-1
억누르는,-1
억누르다,-1
억누름,-1
억눌러,-1
억눌러 못,-1
억눌리다,-1
억압,-1
억압되다,-1
억울하거나,-1
억울하거나 원통하여,-1
억울하게,-1
억울하게 여겨,-1
억울하다,-1
억울하여,-1
억울한,-1
억울한 일을,-1
억울한 죄에,-1
억울함,-1
억지로 억누르다,-1
억척스럽다,-1
언짢거나,-1
언짢거나 못마땅하여,-1
언짢거나 못마땅하여서,-1
언짢거나 못마땅한,-1
언짢거나 불쾌한,-1
언짢거나 울려고,-1
언짢거나 징그럽다,-1
언짢게,-1
언짢게 되다,-1
언짢게 말썽을,-1
언짢고,-1
언짢고 가엾게,-1
언짢고 서운하게,-1
언짢고 아프다,-1
언짢다,-1
언짢아서,-1
언짢아서 성이,-1
언짢아서 어이없다,-1
언짢아지다,-1
언짢아하다,-1
언짢았던,-1
언짢았던 감정이,-1
언짢은,-1
언짢은 감정,-1
언짢은 기분,-1
언짢은 기분으로,-1
언짢은 기분이,-1
언짢은 기색이,-1
언짢은 느낌,-1
언짢은 느낌이,-1
언짢은 데가,-1
언짢은 마음에,-1
언짢은 생각이,-1
언짢은 일을,-1
언짢을,-1
언짢음,-1
언짢이,-1
언행이 허황하고,-1
얼얼한,-1
업귀,-1
업신여겨,-1
업신여겨 얕보다,-1
업신여겨 하찮게,-1
업신여겨지거나,-1
업신여기거나,-1
업신여기거나 하찮게,-1
업신여기고,-1
업신여기는,-1
업신여기는 모양,-1
업신여기는 태도로,-1
업신여기다,-1
업신여기어,-1
업신여기어지거나,-1
업신여기어지거나 하찮게,-1
업신여김,-1
업신여김을,-1
업신여김을 받음,-1
없거나 모자라서,-1
없고 멀건,-1
없애 버리는,-1
없애 버리다,-1
없애 버림,-1
없애다,-1
엉터리,-1
여겨 깔보다,-1
여겨져 무시당하다,-1
여겨져 언짢다,-1
여겨져 언짢은,-1
여병추,-1
역겹다,-1
역겹도록,-1
역겹도록 구리게,-1
역정,-1
역정을,-1
역정을 내는,-1
역정이,-1
역정이 나거나,-1
역증,-1
역한,-1
역한 냄새가,-1
열받다,-1
열병이나,-1
열이 심하거나,-1
열이 심하게 나고,-1
열폭,-1
염려가,-1
염려가 되어,-1
염증,-1
염증이 생겨,-1
영정,-1
예의범절에 어긋나게,-1
예의범절에 어긋나는,-1
예의에 벗어나다,-1
오도,-1
오도되다,-1
오래 앓다,-1
오랜 병으로,-1
오염되다,-1
오염된,-1
오염된 식품을,-1
오용,-1
오해의 소지가 있는,-1
온갖 험한,-1
온당치 않고,-1
온당하지 아니하게,-1
온당하지 않게,-1
옳지 못하게,-1
옳지 못한,-1
옳지 못함을,-1
옳지 아니하다고,-1
옳지 않다,-1
옳지 않은,-1
옹골차지 못하고,-1
옹졸하고,-1
옹졸하다,-1
옹졸한,-1
옹졸한 데가,-1
옹졸한 모양,-1
와해하거나,-1
요망스러운,-1
요망스러운 데가,-1
요망스러움,-1
요망스럽게,-1
요망한,-1
요망한 짓과,-1
요사스러운,-1
요사한,-1
요사한 술법으로,-1
욕,-1
욕되게,-1
욕되게 함,-1
욕되고,-1
욕되고 수치스러운,-1
욕망이 억눌리다,-1
욕설,-1
욕설을,-1
욕설을 하거나,-1
욕설을 하다,-1
욕설을 함,-1
욕으로,-1
욕으로 이르는,-1
욕으로 하는,-1
욕을,-1
욕을 당하게,-1
욕을 보이다,-1
욕을 보임,-1
욕을 하다,-1
욕을 하며,-1
욕을 함,-1
욕하거나,-1
욕하다,-1
욕하며,-1
욕하여,-1
욕하여 이르는,-1
욕함,-1
용납하지 못하게,-1
용납할 수 없는,-1
우격다짐으로,-1
우려스럽다,-1
우려하다,-1
우악스러운,-1
우악스러운 데가,-1
우악스러운 모양,-1
우악스러움,-1
우악스럽게,-1
우악스럽게 내놓는,-1
우악스럽게 하는,-1
우악스럽게 하다,-1
우악스럽다,-1
우울,-1
우울증,-1
우울증의,-1
우울증의 하나,-1
우울하게,-1
우울하다,-1
우울하여,-1
우울하여지기,-1
우울하여지기 쉽고,-1
