부정,점수
괴롭고,-1
괴롭고 귀찮게,-1
괴롭고 귀찮다,-1
괴롭고 아픈,-1
괴롭다,-1
괴롭히거나,-1
괴롭히거나 못살게,-1
괴롭히는,-1
괴롭히는 일,-1
괴롭히는 짓을,-1
괴롭히다,-1
괴멸,-1
괴멸되다,-1
괴멸하다,-1
괴사가,-1
괴사가 일어난,-1
괴상하고,-1
괴상한,-1
괴상한 데가,-1
괴상한 일,-1
괴이하게,-1
괴이하게 여기다,-1
구슬프고 쓸쓸한,-1
구역날,-1
구역날 듯하다,-1
구역이 나려는,-1
구역질,-1
구역질나는,-1
구역질나다,-1
구역질을,-1
구역질을 하는,-1
구역질이,-1
구역질이 나는,-1
구역질이 나다,-1
구역질이 나서,-1
구역질하다,-1
구차스러운,-1
구차스러운 짓을,-1
구차스럽게,-1
구차스럽게 구는,-1
구차스럽게 굴다,-1
구차하여,-1
굴욕,-1
굴욕감,-1
굴욕을,-1
굴욕을 당하거나,-1
굴욕을 당하여,-1
굴욕적,-1
굼뜨고 거추장스럽게,-1
굼뜨고 게으르게,-1
굼뜨고 좀스럽게,-1
굽신,-1
굽신거리다,-1
굽신굽신,-1
굽신굽신하다,-1
굽신대다,-1
굽신하다,-1
굽실,-1
굽실거리다,-1
굽실굽실,-1
굽실굽실하다,-1
굽실대다,-1
굽실하다,-1
굽혀서 산다는,-1
궁상스러운,-1
궁상스러운 모양,-1
궁상스럽다,-1
궁색하게,-1
궁색하다,-1
궁색하여,-1
궁핍하다,-1
궁핍히,-1
궁하고,-1
궁하다,-1
귀양을 보내던,-1
귀양이 보내어지다,-1
귀찮고 성가시다,-1
귀찮아하도록 성가시게,-1
귀찮은,-1
그대로 설사하는,-1
그른,-1
그른 짓을,-1
그릇되거나,-1
그릇되게,-1
그릇되게 하는,-1
그릇되게 하다,-1
그릇되다,-1
그릇된,-1
그릇된 방향으로,-1
그릇된 일을,-1
그릇된 짓을,-1
그와 이별하다,-1
극혐,-1
근심이나 걱정이,-1
근심하거나 안타까워,-1
금지되다,-1
금지된 물건을,-1
금지하는 말과,-1
금지하려,-1
금지하려 할,-1
금지함,-1
급성 염증,-1
급성 위장염의,-1
급작스럽게 화를,-1
기능 장애로,-1
기만하다,-1
기분 나쁠,-1
기분을 나쁘게,-1
기분이 나쁘거나,-1
기분이 상하다,-1
기운 없이,-1
기운이 다하여,-1
기운이 빠져,-1
기운이 빠져서,-1
기운이 쇠약하여,-1
기운이 없거나,-1
기운이 없고,-1
기운이 없는,-1
기운이 없다,-1
기운이 없어,-1
기운이 없어지고,-1
기운이 없이,-1
기운이나 의욕 따위가 없이,-1
기절하듯이,-1
기절하듯이 쓰러지다,-1
기절할,-1
기절할 듯이,-1
기죽다,-1
기준에 어긋나,-1
기피되어 따돌림을,-1
기피하여 따돌리거나,-1
길이 막막하게,-1
길이 막막하다,-1
깊이 근심함,-1
깊이 슬퍼하다,-1
깊이 슬퍼함,-1
까마득하다,-1
까마아득하게,-1
까무러질,-1
까무러질 듯하다,-1
까무러질 듯한,-1
까무러칠,-1
까무러칠 듯,-1
까무러칠 듯이,-1
까무러칠 듯하게,-1
까무러칠 듯하다,-1
까무러칠 듯한,-1
깎아내려 헐뜯음,-1
깔깔하며 거북하고,-1
깔보면서 놀리다,-1
깔보아 업신여기다,-1
깔보아 업신여김,-1
깜찍스럽게 지껄이며,-1
꺼려지거나,-1
꺼리는,-1
꺼리는 날,-1
꺼리는 마음으로,-1
꺼리다,-1
꺼리어,-1
꺼리어 피하거나,-1
꺼린다,-1
꺼림,-1
꺼림칙하고,-1
꺼림칙하여,-1
꺼림칙해,-1
꺼림칙해 보일,-1
꼬이거나,-1
꼬이거나 틀어지다,-1
꼴사나운,-1
꼴사납게,-1
꼴사납게 우는,-1
꼴사납다,-1
꽉 막힌,-1
꾸짖어 혼쭐을,-1
꿉신대다,-1
끔살,-1
끔직하고,-1
끔직하고 절망적이다,-1
끔찍하게,-1
끔찍하다,-1
끔찍한,-1
끔찍한 느낌,-1
끔찍한 느낌이,-1
끔찍함,-1
끝나는 사랑,-1
끝내 패가망신한다는,-1
끝장이 나다,-1
끼치도록 무섭고,-1
나가자빠지는,-1
나가자빠지는 모양,-1
나무라며 못마땅하게,-1
나빠지게,-1
나빠지게 하다,-1
나빠지다,-1
나빠지도록,-1
나빠진,-1
나빠진 모양,-1
나쁘거나,-1
나쁘거나 궂게,-1
나쁘거나 궂다,-1
나쁘게,-1
나쁘게 되다,-1
