숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종
1,순천 순천만S호텔,전라남도 순천시 팔마2길 61,매우완전추천,완전추천,추천2
2,"순천 순천만뉴빌리지펜션(감성숙소,순천만 차로3분)",전라남도 순천시 순천만길 350,매우완전추천,완전추천,추천2
3,순천 순천만어린왕자펜션,전라남도 순천시 순천만길 572,매우완전추천,완전추천,추천2
4,"순천 순천만들마루펜션(순천만국제정원도보1분,단체)",전라남도 순천시 순천만길 496,매우완전추천,보통추천,보통
5,순천 샤인호텔,전라남도 순천시 남신월길 4,매우완전추천,비추천,보통
6,구례 지리산호수리조트펜션,전라남도 구례군 산동면 구만제로 610,매우완전추천,완전추천,추천2
7,순천 순천만숲펜션,전라남도 순천시 순천만길 374-1,매우완전추천,완전추천,추천2
8,구례 화수목펜션,전라남도 구례군 토지면 섬진강대로 4310-50,매우완전추천,완전추천,추천2
9,순천 순천만스파빌펜션,전라남도 순천시 순천만길 338,매우완전추천,비추천,보통
10,순천 더베이호텔앤풀빌라,전라남도 순천시 동너리길170,매우완전추천,보통추천,보통
11,순천 여행스케치펜션,전라남도 순천시 순천만길 480,매우완전추천,완전추천,추천2
12,순천 더소풍펜션,전라남도 순천시 별량면 동화사길 113,완전추천,비추천,보통
13,순천 라온하우스애견펜션,전라남도 순천시 왕지로 238-3,매우완전추천,매우완전추천,추천1
14,순천 힐링펜션,전라남도 순천시 순천만길 574,완전추천,보통추천,보통
15,순천 순천만여행펜션,전라남도 순천시 순천만길 580,매우완전추천,보통추천,보통
16,순천 천지글램핑펜션,전라남도 순천시 상사면 선동길 112,완전추천,비추천,보통
17,순천 순천만그리고나펜션,전라남도 순천시 동너리길 14,매우완전추천,매우완전추천,추천1
18,순천 순천만생태펜션,전라남도 순천시 순천만길 476,매우완전추천,매우완전추천,추천1
19,순천 순천만포시즌펜션,전라남도 순천시 순천만길 584,매우완전추천,완전추천,추천2
20,순천 뜰애펜션,전라남도 순천시 순천만길 574-1,매우완전추천,완전추천,추천2
21,순천 순천만로맨스펜션,전라남도 순천시 순천만길 342,완전추천,보통추천,보통
22,구례 지리산녹차별펜션,전라남도 구례군 토지면 섬진강대로 4310-36,매우완전추천,완전추천,추천2
23,구례 섬진강나루펜션,전라남도 구례군 토지면 섬진강대로 4142-36,매우완전추천,보통추천,보통
