연도,시도명,시군구명,축제명,개최기간,주최/주관,최초개최년도,예산합계,국비,지방비,기타,축제종류,조직형태,방문객수합계,내국인,외국인,개최장소 , 개최방식,앞부분,뒷부분,시작,종료,시작월,시작일,종료월,종료일,개최주소,좌표,위도,경도
2023,전라남도,고흥군,녹동바다불꽃축제,05.18~05.21,녹동청년회의소,2000,200,0.0,100.0,100.0,기타,민간단체,25100.0,25000.0,100.0,녹동 구항,대면,05.18~05.21,,05.18,05.21,5,18,5,21,전남 고흥군 도양읍 봉암리 3907,"34.5221518319079,127.145488379613",34.5221518319079,127.145488379613
2023,전라남도,고흥군,고흥유자석류축제,11.02~11.05,고흥군축제추진위원회,2019,650,0.0,650.0,0.0,특산물,민간단체,46200.0,45700.0,500.0,유자석류축제장,혼합형,11.02~11.05,,11.02,11.05,11,2,11,5,전남 고흥군 풍양면 한동리 701-9,"34.5750828761426,127.232233377335",34.5750828761426,127.232233377335
2023,전라남도,보성군,보성다향대축제,04.29.~05.07.,보성다향대축제추진위원회,1975,930,30.0,900.0,0.0,특산물,민간단체,0.0,0.0,0.0,차문화공원,대면,04.29.~05.07.,,04.29.,05.07.,4,29,5,7,전라남도 보성군 보성읍 녹차로 775,"34.7198764301698,127.081709909391",34.7198764301698,127.081709909391
2023,전라남도,보성군,서편제보성소리축제,04.29.~05.01.,서편제보성소리축제추진위원회,1998,475,0.0,475.0,0.0,문화예술,민간단체,0.0,0.0,0.0,문화예술회관,대면,04.29.~05.01.,,04.29.,05.01.,4,29,5,1,전남 보성군 보성읍 송재로 165,"34.7714835388819,127.08002130789",34.7714835388819,127.08002130789
2023,전라남도,보성군,율포해변불꽃축제,5,공공(시군),2019,290,0.0,290.0,0.0,기타(주민화합 등),,0.0,0.0,0.0,율포해변,대면,5,,5,,5,0,0,0,전남 보성군 회천면 우암길 24,"34.6700292567993,127.08902412779",34.6700292567993,127.08902412779
2023,전라남도,보성군,보성전어축제,8,보성전어축제추진위원회,2004,55,0.0,55.0,0.0,특산물,민간단체,0.0,0.0,0.0,율포해변,대면,8,,8,,8,0,0,0,전남 보성군 회천면 동율리 544-13,"34.6699264610342,127.089805877537",34.6699264610342,127.089805877537
2023,전라남도,보성군,벌교꼬막&문학축제,11,벌교꼬막&문학축제추진위원회,2001,200,0.0,200.0,0.0,특산물,민간단체,0.0,0.0,0.0,벌교읍 거리,대면,11,,11,,11,0,0,0,전남 보성군 벌교읍 회정리 836,"34.8479640260294,127.347764810592",34.8479640260294,127.347764810592
2023,전라남도,보성군,보성차밭빛축제,12,공공(시군),1999,900,0.0,900.0,0.0,기타(주민화합 등),,0.0,0.0,0.0,차문화공원,대면,12,,12,,12,0,0,0,전남 보성군 보성읍 녹차로 775,"34.7198764301698,127.081709909391",34.7198764301698,127.081709909391
2023,전라남도,화순군,봄꽃과함께하는화순고인돌축제,04.21.~04.30.,공공(시군),2023,1000,0.0,1000.0,0.0,전통역사,,0.0,0.0,0.0,고인돌유적지,대면,04.21.~04.30.,,04.21.,04.30.,4,21,4,30,전남 화순군 도곡면 효산리 64,"34.9856327903476,126.918667428254",34.9856327903476,126.918667428254
2023,전라남도,화순군,화순캠핑뮤직페스티벌,7,공공(시군),2023,250,0.0,250.0,0.0,문화예술,,0.0,0.0,0.0,고인돌유적지,대면,7,,7,,7,0,0,0,전남 화순군 도곡면 효산리 64,"34.9856327903476,126.918667428254",34.9856327903476,126.918667428254
2023,전라남도,화순군,화순고인돌과함께하는국화향연,10~11,공공(시군),2013,1000,0.0,1000.0,0.0,생태자연,,2799905.0,2799905.0,0.0,고인돌유적지,대면,10~11,,10,11,10,0,11,0,전남 화순군 도곡면 효산리 64,"34.9856327903476,126.918667428254",34.9856327903476,126.918667428254
2023,전라남도,화순군,화순고인돌별빛소나타,12,공공(시군),2023,250,0.0,250.0,0.0,문화예술,,0.0,0.0,0.0,고인돌유적지,대면,12,,12,,12,0,0,0,전남 화순군 도곡면 효산리 64,"34.9856327903476,126.918667428254",34.9856327903476,126.918667428254
2023,전라남도,화순군,동구리호수공원봄축제,4,화순읍청년연합회,2016,50,0.0,50.0,0.0,생태자연,임의단체,0.0,0.0,0.0,동구리 호수공원,대면,4,,4,,4,0,0,0,전남 화순군 화순읍 동구리 123,"35.0784300043389,126.985865612353",35.0784300043389,126.985865612353
2023,전라남도,화순군,백아산철쭉제,5,백아면청년회,1999,20,0.0,20.0,0.0,생태자연,임의단체,0.0,0.0,0.0,백아산 ,대면,5,,5,,5,0,0,0,전남 화순군 백아면 학천길 20,"35.1677735876974,127.133912100502",35.1677735876974,127.133912100502
2023,전라남도,화순군,운주문화축제,5,화순운주문화축제추진위원회,1996,90,0.0,90.0,0.0,문화예술,민간단체,0.0,0.0,0.0,운주사,대면,5,,5,,5,0,0,0,전남 화순군 도암면 천태로 91-44,"34.9290633328221,126.882563494001",34.9290633328221,126.882563494001
2023,전라남도,화순군,적벽문화축제,4~5,적벽문화축제추진위원회,1975,70,0.0,70.0,0.0,생태자연,민간단체,1500.0,1500.0,0.0,"이서커뮤니티센터, 적벽 망향정",대면,4~5,,4,5,4,0,5,0,전남 화순군 이서면 백아로 3114,"35.1107472119391,127.079414676726",35.1107472119391,127.079414676726
2023,전라남도,장흥군,정남진장흥키조개축제,5,공공(시군),2003,72,0.0,50.0,22.0,특산물,,0.0,0.0,0.0,수문항 일원,대면,5,,5,,5,0,0,0,전남 장흥군 안양면 수문리 151-42,"34.6313027628437,127.032086655761",34.6313027628437,127.032086655761
2023,전라남도,장흥군,정남진장흥물축제,7.29.~8.6.,장흥물축제추진위원회,2008,2130,30.0,2100.0,0.0,생태자연,위원회,566250.0,547750.0,18500.0,탐진강볍,대면,7.29.~8.6.,,7.29.,8.6.,7,29,8,6,전남 장흥군 장흥읍 건산리 805,"34.6784037991069,126.9049708789",34.6784037991069,126.9049708789
2023,전라남도,장흥군,회령포문화축제,10,회령포문화축제추진위원회,2017,130,130.0,0.0,0.0,"
 전통역사
",위원회,5023.0,4211.0,812.0,회진항 일원,대면,10,,10,,10,0,0,0,전남 장흥군 회진면 회진리 2184,"34.4824830738082,126.941070459585",34.4824830738082,126.941070459585
2023,전라남도,장흥군,장평명품호두축제,10,공공(시군),2011,36,0.0,36.0,0.0,특산물,,1200.0,1200.0,0.0,장평면 체육광장 일원,대면,10,,10,,10,0,0,0,전남 장흥군 장평면 장평중앙길 42,"34.7736894732573,126.974820403404",34.7736894732573,126.974820403404
2023,전라남도,장흥군,장흥표고버섯축제,10,공공(시군),2015,20,0.0,20.0,0.0,특산물,,1800.0,1800.0,0.0,유치면 다목적복지관 광장,대면,10,,10,,10,0,0,0,전남 장흥군 유치면 유치로 56,"34.8018893621886,126.835345421177",34.8018893621886,126.835345421177
2023,전라남도,강진군,강진청자축제,02.23.~03.01.,강진군축제추진위원회,1973,950,0.0,950.0,0.0,전통역사,,0.0,0.0,0.0,대구면 청자촌,대면,02.23.~03.01.,,02.23.,03.01.,2,23,3,1,전라남도 강진군 청자촌길 33,"34.5086620320972,126.800837407838",34.5086620320972,126.800837407838
2023,전라남도,강진군,강진성전월출산봄소풍가는날,03.26.~03.28.,월출산축제추진위원회,2017,100,0.0,100.0,0.0,생태자연,,0.0,0.0,0.0,성전면 경포대 일원,대면,03.26.~03.28.,,03.26.,03.28.,3,26,3,28,전남 강진군 성전면 백운로 148-8,"34.7463479712687,126.70913687351",34.7463479712687,126.70913687351
2023,전라남도,강진군,강진금곡사벚꽃삼십리길축제,03.31.~04.02.,강진금곡사벚꽃삼십리길축제추진위원회,2018,50,0.0,50.0,0.0,생태자연,,0.0,0.0,0.0,군동면 까치내로 일원,대면,03.31.~04.02.,,03.31.,04.02.,3,31,4,2,전남 강진군 군동면 까치내로 261-21,"34.6665473464791,126.777467925016",34.6665473464791,126.777467925016
2023,전라남도,강진군,전라병영성축제,04.19.~04.24.,강진군축제추진위원회,1998,250,0.0,250.0,0.0,전통역사,,0.0,0.0,0.0,병영성 일원,대면,04.19.~04.24.,,04.19.,04.24.,4,19,4,24,전남 강진군 병영면 성동리 137,"34.7210622929573,126.816650294008",34.7210622929573,126.816650294008
2023,전라남도,강진군,마량미항찰전어축제,09.28.~09.30.,마량미항찰전어축제추진위원회,2009,50,0.0,50.0,0.0,특산물,,0.0,0.0,0.0,마량항 일원,대면,09.28.~09.30.,,09.28.,09.30.,9,28,9,30,전남 강진군 마량면 미항로 150,"34.4491761616056,126.818345216889",34.4491761616056,126.818345216889
2023,전라남도,강진군,강진만춤추는갈대축제,10.07.~11.05.,강진군축제추진위원회,2016,500,0.0,500.0,0.0,생태자연,,0.0,0.0,0.0,생태공원 일원,대면,10.07.~11.05.,,10.07.,11.05.,10,7,11,5,전라남도 강진군 강진읍 생태공원길 47,"34.6204475262689,126.773432301854",34.6204475262689,126.773432301854
2023,전라남도,해남군,땅끝매화축제,3,산이면 문화체육진흥회,2009,60,0.0,60.0,0.0,생태자연,민간단체,12573.0,12573.0,0.0,산이 보해매실농원,대면,3,,3,,3,0,0,0,전남 해남군 산이면 예덕길 125-89,"34.6245256247879,126.463356787921",34.6245256247879,126.463356787921
2023,전라남도,해남군,달마고도힐링축제,3,공공(시군),2018,80,0.0,80.0,0.0,생태자연,,0.0,0.0,0.0,달마고도,대면,3,,3,,3,0,0,0,전남 해남군 송지면 미황사길 164,"34.3822314576451,126.577957148483",34.3822314576451,126.577957148483
2023,전라남도,해남군,땅끝해남어린이공룡대축제,5.5.~5.7.,공공(시군),2023,290,0.0,290.0,0.0,생태자연,,0.0,0.0,0.0,해남 공룡박물관,대면,5.5.~5.7.,,5.5.,5.7.,5,5,5,7,전남 해남군 황산면 공룡박물관길 234,"34.5890886656765,126.44283212925",34.5890886656765,126.44283212925
2023,전라남도,해남군,송호해변여름축제,7~8,공공(시군),2019,290,0.0,290.0,0.0,생태자연,,8000.0,8000.0,0.0,송호해수욕장,대면,7~8,,7,8,7,0,8,0,전남 해남군 송지면 땅끝해안로 1827,"34.3143523150288,126.519733179238",34.3143523150288,126.519733179238
2023,전라남도,해남군,오시아노뮤직페스티벌,8,공공(시군),2021,200,0.0,200.0,0.0,문화예술,,2000.0,2000.0,0.0,오시아노 관광단지,대면,8,,8,,8,0,0,0,전남 해남군 화원면 주광리 384,"34.6852683318894,126.263666932448",34.6852683318894,126.263666932448
