숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종,전체평점,평점/친절도,평점/청결도,평점/편의성,평점/주변여행,평점순/친절도순,평점순/청결도순,평점순/편의성순,평점순/주변여행순
138,"여수 밀라그로펜션(수영장,오션뷰)",전라남도 여수시 돌산읍 계동로 521-1,매우완전추천,매우완전추천,5,4.9,4.9,4.8,4.9,4.9,4.88,4.87,4.88,4.88
139,여수 리틀포레스트펜션(낭만포차인근),전라남도 여수시 돌산읍 상하동길 112,완전추천,보통추천,2,4.3,4.5,4.6,4.2,3.9,4.32,4.33,4.29,4.26
140,여수 썬비치펜션,전라남도 여수시 이순신광장로 165,매우완전추천,완전추천,4,4.8,4.9,4.7,4.8,5,4.86,4.83,4.84,4.87
141,여수 슈가브리움펜션,전라남도 여수시 돌산읍 몰둠벙길 58,매우완전추천,완전추천,4,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
142,여수 아일리아펜션,전라남도 여수시 돌산읍 계동로 415,완전추천,비추천,2,4.8,4.9,4.8,4.5,4.4,4.68,4.67,4.63,4.62
143,여수 라메르펜션,전라남도 여수시 돌산읍 무술목길 83,매우완전추천,보통추천,2,4.4,4.6,4.3,4.4,4.2,4.4,4.37,4.38,4.36
144,여수 르파라디리조트,전라남도 여수시 망양로 588,매우완전추천,완전추천,4,4.7,4.8,4.9,4.7,4.4,4.71,4.72,4.7,4.67
145,여수 뷰21펜션 (통대관),전라남도 여수시 화양면 안포장수로 154,매우완전추천,보통추천,2,4.9,4.9,4.9,4.8,4.4,4.77,4.77,4.76,4.71
146,여수 더뷰917리조트펜션,전라남도 여수시 돌산읍 무술목길80,매우완전추천,보통추천,2,4.6,4.7,4.5,4.4,4.4,4.52,4.5,4.49,4.49
147,여수 풀빌라리조트 리베라,전라남도 여수시 소라면 궁항길 115-16,매우완전추천,완전추천,4,4.8,4.9,4.9,4.7,4.2,4.7,4.7,4.68,4.62
148,영암 비바체펜션,전라남도 영암군 영암읍 탑동길 18-15비바체펜션,매우완전추천,매우완전추천,5,4.6,4.5,4.5,4.6,4.5,4.52,4.52,4.53,4.52
149,신안 썬코스트리조트,전라남도 신안군 증도면 보물섬길 179-27,매우완전추천,보통추천,2,3.9,4.6,3.4,3.7,4.1,4.02,3.89,3.92,3.97
150,완도 바하펜션,전라남도 완도군 완도읍 구계등길 36,매우완전추천,완전추천,4,4.4,4.6,4.8,4.2,4.2,4.47,4.49,4.42,4.42
