숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종,전체평점,평점/친절도,평점/청결도,평점/편의성,평점/주변여행,평점순/친절도순,평점순/청결도순,평점순/편의성순,평점순/주변여행순
53,담양 반딧불펜션,전라남도 담양군 용면 쌍태길 62-9,매우완전추천,완전추천,4,4.7,4.9,5,4.8,4.5,4.81,4.82,4.8,4.77
54,담양 산토리니펜션,전라남도 담양군 담양읍 메타프로방스3길9,매우완전추천,비추천,2,4.4,4.3,4.3,4.5,4.9,4.48,4.48,4.5,4.54
55,담양 소나무펜션,전라남도 담양군 담양읍 세솔길 10,매우완전추천,완전추천,4,4.9,5,4.9,4.9,4.9,4.93,4.92,4.92,4.92
56,담양 라라345펜션,전라남도 담양군 금성면 금성문화길 15,매우완전추천,매우완전추천,5,4.8,5,5,5,4.8,4.96,4.96,4.96,4.93
57,"화순 더휴일(2층독채,개별풀장)",전라남도 화순군 이서면 규봉로 887-30,매우완전추천,완전추천,4,4.5,4.5,4.8,4.8,4.7,4.68,4.71,4.71,4.7
58,장성 더힐링나인풀빌라,전라남도 장성군 서삼면 모암길 153-43,매우완전추천,완전추천,4,4.6,4.6,4.8,4.4,4.4,4.56,4.58,4.53,4.53
59,곡성 강변스케치펜션,전라남도 곡성군 고달면 가정마을길 39-76,완전추천,비추천,2,4.7,4.7,4.8,4.6,4.8,4.72,4.73,4.71,4.73
60,담양 메이플펜션,전라남도 담양군 용면 추월산로 1234,매우완전추천,비추천,2,5,5,5,5,4.9,4.98,4.98,4.98,4.97
61,화순 더휴일캐슬펜션 (신축),전라남도 화순군 이서면 규봉로 887-42,매우완전추천,보통추천,2,4.6,4.7,4.8,4.6,4.2,4.59,4.6,4.58,4.53
62,담양 정원펜션,전라남도 담양군 금성면 금성문화길 19,매우완전추천,완전추천,4,4.8,4.7,5,4.7,4.7,4.77,4.8,4.77,4.77
63,담양 풀꽃펜션,전라남도 담양군 금성면 금성문화길 14,매우완전추천,완전추천,4,5,5,5,4.8,4.9,4.93,4.93,4.91,4.92
64,담양 생폴드방스펜션,전라남도 담양군 담양읍 메타프로방스1길 70,매우완전추천,보통추천,2,5,5,5,5,5,5,5,5,5
65,담양 씨엘펜션,전라남도 담양군 담양읍 메타프로방스1길 70,매우완전추천,매우완전추천,5,4.7,4.8,4.7,4.7,4.8,4.76,4.74,4.74,4.76
66,담양 쁘띠까도펜션,전라남도 담양군 용면 와산길 51-3,매우완전추천,완전추천,4,4.4,4.3,4.7,4.3,4.4,4.41,4.46,4.41,4.42
67,담양 담양펜션(스테이),전라남도 담양군 용면 추월산로 1229 담양펜션,매우완전추천,보통추천,2,4.4,4.7,4.6,4.1,4.4,4.48,4.47,4.41,4.44
68,화순 더휴일풀빌라(2층 독채),전라남도 화순군 이서면 규봉로 887-32,매우완전추천,보통추천,2,4.7,4.7,5,4.5,4.3,4.63,4.67,4.61,4.59
69,곡성 좋은세상리조트글램핑펜션,전라남도 곡성군 죽곡면 대황강로 1397-45,매우완전추천,비추천,2,4.2,4.6,4.3,4.2,4.4,4.4,4.37,4.36,4.38
70,담양 버치펜션,전라남도 담양군 용면 복리암길 1,완전추천,비추천,2,4.8,4.8,5,4.8,4.8,4.84,4.87,4.84,4.84
71,담양 스테이휘경펜션,전라남도 담양군 용면 해오름길 15,매우완전추천,완전추천,4,5,4.9,5,4.9,4.8,4.9,4.91,4.9,4.89
72,담양 대숲여행펜션,전라남도 담양군 금성면 금성문화길 29,완전추천,비추천,2,3.6,3.7,4,3.4,3.9,3.74,3.78,3.71,3.77
73,담양 티라시아펜션,전라남도 담양군 담양읍 메타프로방스3길 23,매우완전추천,보통추천,2,5,5,5,4.9,5,4.98,4.98,4.97,4.98
74,담양 두리담음(한옥민박),전라남도 담양군 수북면 황덕길 96-39,매우완전추천,보통추천,2,4.8,4.9,4.8,4.8,4.4,4.74,4.73,4.73,4.69
75,담양 자연나드리펜션,전라남도 담양군 월산면 홍암길 39-28,매우완전추천,완전추천,4,4.7,4.8,4.7,4.4,4.3,4.58,4.57,4.53,4.52
76,담양 슈트라하우스펜션,전라남도 담양군 금성면 금성산성1길 68-2,매우완전추천,완전추천,4,4.7,4.6,4.7,4.7,4.4,4.6,4.61,4.61,4.58
77,담양 담빛펜션,전라남도 담양군 담양읍 객사5길 6-5,매우완전추천,보통추천,2,5,5,4.7,4.7,5,4.87,4.83,4.83,4.87
78,담양 방아재한옥펜션,전라남도 담양군 가사문학면 백아로 2700,매우완전추천,완전추천,4,4.8,5,5,4.8,3.3,4.58,4.58,4.56,4.39
79,"담양 까사블랑카펜션(D,E동)",전라남도 담양군 담양읍 연화길 167-79,매우완전추천,완전추천,4,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
80,담양 한옥에서펜션,전라남도 담양군 창평면 돌담길 88-9,매우완전추천,매우완전추천,5,4.8,4.9,5,4.9,4.7,4.88,4.89,4.88,4.86
81,담양 메종드프로방스풀빌라,담양군 담양읍 메타프로방스2길 14 (학동리)메종드프로방스풀빌라,매우완전추천,보통추천,2,3.8,4.7,3.8,4,5,4.41,4.31,4.33,4.44
82,담양 세솔길12펜션,전라남도 담양군 담양읍 세솔길12,매우완전추천,보통추천,2,4.8,4.8,4.8,4.9,4.9,4.84,4.84,4.86,4.86
83,화순 아델캐슬키즈풀빌라,전라남도 화순군 도곡면 지강로 459-9,매우완전추천,보통추천,2,4.6,4.8,4.4,4.8,4.8,4.71,4.67,4.71,4.71
84,나주 한옥스테이중정,전라남도 나주시 금성관길 43-6,매우완전추천,완전추천,4,4.9,4.9,4.8,4.8,4.9,4.86,4.84,4.84,4.86
85,담양 힐링파크글램핑,전라남도 담양군 봉산면 탄금길 9-26,매우완전추천,비추천,2,4.3,4.8,3.8,4.2,4.8,4.44,4.33,4.38,4.44
86,장성 편백숲속펜션,전라남도 장성군 북일면 축령로 959,매우완전추천,보통추천,2,4.9,4.9,4.8,4.3,4.4,4.63,4.62,4.57,4.58
87,담양 꽃담펜션,전라남도 담양군 금성면 금성문화길 5,매우완전추천,완전추천,4,3.8,4.3,4.5,4.3,4,4.28,4.3,4.28,4.24
88,담양 오감서펜션,전라남도 담양군 금성면 금성산성길 293,보통추천,비추천,2,4.8,5,3.3,4,4.8,4.36,4.17,4.24,4.33
89,담양 친구와돌담길펜션(독채),전라남도 담양군 창평면 돌담길 79,매우완전추천,보통추천,2,4.9,4.9,4.6,4.6,4.3,4.63,4.6,4.6,4.57
90,나주 비토애럭셔리글램핑나주점,전라남도 나주시 산포면 산남로 67-47,완전추천,매우완전추천,4,4.7,4.8,4.8,4.7,4.6,4.73,4.73,4.72,4.71
91,담양 산토리니펜션5동,전라남도 담양군 담양읍 메타프로방스3길 23,매우완전추천,보통추천,2,5,5,5,5,5,5,5,5,5
92,담양 사나래펜션,전라남도 담양군 금성면 금성문화길 8-8,매우완전추천,완전추천,4,4.8,5,4.7,4.5,4.3,4.67,4.63,4.61,4.59
93,담양 송죽헌펜션,전라남도 담양군 금성면 금성문화길 30,매우완전추천,보통추천,2,4.5,5,5,4.5,4.5,4.78,4.78,4.72,4.72
94,장성 사계절온천펜션,전라남도 장성군 북하면 남창로 416,완전추천,비추천,2,4.8,4.8,4.5,4.5,5,4.71,4.68,4.68,4.73
95,담양 클로버펜션,전라남도 담양군 용면 추령로 243-25,완전추천,비추천,2,5,5,5,5,5,5,5,5,5
96,장성 황룡강펜션게스트하우스,전라남도 장성군 장성읍 내기길 16-35,완전추천,비추천,2,4.3,4.2,4.1,4,4.1,4.11,4.1,4.09,4.1
97,나주 숲아래잠펜션,전라남도 나주시 남평읍 인암2길 9-14,보통추천,비추천,2,5,5,5,4.5,5,4.89,4.89,4.83,4.89
98,여수 달콤펜션,전라남도 여수시 돌산읍 계동로 515,매우완전추천,완전추천,4,4.6,4.6,4.5,4.4,4.4,4.49,4.48,4.47,4.47
99,여수 케렌시아리조트,전라남도 여수시 화양면 화양로 1527-32,매우완전추천,보통추천,2,4.5,4.6,4.6,4.5,4,4.44,4.44,4.43,4.38
100,여수 큐브펜션,전라남도 여수시 돌산읍 진두해안길 101,매우완전추천,완전추천,4,4.8,4.9,4.9,4.7,4.8,4.83,4.83,4.81,4.82
101,여수 카펠라 리조트(신축),전라남도 여수시 돌산읍 돌산로 3138,매우완전추천,완전추천,4,4.6,4.7,4.7,4.5,4.5,4.61,4.61,4.59,4.59
102,여수 하이클래스153부띠끄리조트,전라남도 여수시 돌산읍 무술목길 116,매우완전추천,보통추천,2,4.7,4.7,4.6,4.7,4.5,4.63,4.62,4.63,4.61
103,여수 키웨스트리조트(낭만포차 도보10분),전라남도 여수시 이순신광장로 139,매우완전추천,매우완전추천,5,4.7,4.8,4.9,4.9,4.9,4.87,4.88,4.88,4.88
